Feature,Factor_3,Factor_9,Factor_11,Factor_13,Factor_14
volume_sn_voxels::v0,0.7681369185447693,0.9227550625801086,-1.0924752950668335,-0.14784519374370575,0.025619737803936005
volume_sn_voxels::v1,0.8481728434562683,1.3985000848770142,-0.3934100866317749,-0.21016614139080048,0.16048118472099304
volume_sn_voxels::v2,0.6866084933280945,0.2882080376148224,-1.1934971809387207,0.05724141001701355,-0.13445152342319489
volume_sn_voxels::v3,0.8258107304573059,1.081455111503601,-0.9060552716255188,-0.05986352637410164,0.2882738709449768
volume_sn_voxels::v4,1.0230695009231567,1.369239330291748,-0.1506068855524063,-0.14382678270339966,0.27832329273223877
volume_sn_voxels::v5,0.31480783224105835,-0.7064668536186218,-1.3311184644699097,0.29150089621543884,0.10728884488344193
volume_sn_voxels::v6,0.4033518135547638,0.10444074869155884,-1.044709324836731,-0.03781619668006897,0.3688618242740631
volume_sn_voxels::v7,0.637371838092804,0.7591462731361389,-0.7646269202232361,-0.13582256436347961,0.19131231307983398
volume_sn_voxels::v8,1.187275767326355,0.9713437557220459,0.09331165999174118,0.04708975553512573,0.13940909504890442
volume_sn_voxels::v9,0.05526809021830559,-0.9968094825744629,-1.1559433937072754,0.5815077424049377,-0.27736032009124756
volume_sn_voxels::v10,0.17752277851104736,-0.9362600445747375,-1.1274369955062866,0.3979175388813019,0.10589167475700378
volume_sn_voxels::v11,-0.042754728347063065,-0.6134505271911621,-1.1673121452331543,0.22121752798557281,0.28159981966018677
volume_sn_voxels::v12,-0.17026770114898682,-0.3596585690975189,-1.0593889951705933,0.1953679323196411,0.37737300992012024
volume_sn_voxels::v13,-0.06718914955854416,0.06796223670244217,-0.9354328513145447,0.18172985315322876,0.28010988235473633
volume_sn_voxels::v14,0.34875547885894775,0.7182320952415466,-0.2922532260417938,0.03113710694015026,0.05144805461168289
volume_sn_voxels::v15,0.9766952395439148,1.3208675384521484,0.1703314632177353,0.13702887296676636,-0.2082749605178833
volume_sn_voxels::v16,0.021361151710152626,-1.2731423377990723,-0.21239854395389557,0.5138866305351257,0.01967085897922516
volume_sn_voxels::v17,-0.08569180965423584,-1.0672236680984497,-0.21211004257202148,0.33362874388694763,-0.045619480311870575
volume_sn_voxels::v18,-0.28471922874450684,-0.7729923725128174,-0.555688202381134,0.36472150683403015,0.151089608669281
volume_sn_voxels::v19,-0.3046068847179413,-0.9652764201164246,-0.7931451797485352,0.14784440398216248,0.26395174860954285
volume_sn_voxels::v20,-0.33150380849838257,-0.660121500492096,-0.9559340476989746,0.011559848673641682,0.41458505392074585
volume_sn_voxels::v21,-0.38722097873687744,-0.05619082972407341,-0.8791056275367737,-0.07532574236392975,0.18917107582092285
volume_sn_voxels::v22,-0.017440328374505043,0.3284253776073456,-0.39741525053977966,-0.10266567021608353,-0.02961615100502968
volume_sn_voxels::v23,0.32919371128082275,1.0534545183181763,-0.08309514075517654,-0.0578598789870739,-0.44704505801200867
volume_sn_voxels::v24,0.9116500020027161,1.325868010520935,0.3077958822250366,0.15486057102680206,-0.7923821210861206
volume_sn_voxels::v25,0.04415823891758919,-0.8670291304588318,0.5071623921394348,0.4503236711025238,0.21939736604690552
volume_sn_voxels::v26,-0.17940963804721832,-0.9042503237724304,0.6764111518859863,0.39838626980781555,0.2681356370449066
volume_sn_voxels::v27,-0.23847557604312897,-1.0229955911636353,0.2576999068260193,0.26247450709342957,0.36064350605010986
volume_sn_voxels::v28,-0.23082256317138672,-0.619052529335022,-0.18086092174053192,0.11380618065595627,0.15727932751178741
volume_sn_voxels::v29,-0.37711501121520996,-0.2619660198688507,-0.31182295083999634,-0.1950603872537613,0.10914827883243561
volume_sn_voxels::v30,-0.4341387450695038,0.02555759809911251,-0.5984417200088501,-0.2188013345003128,0.013059575110673904
volume_sn_voxels::v31,-0.1665254384279251,0.8735897541046143,-0.34019193053245544,-0.23434273898601532,-0.5464735627174377
volume_sn_voxels::v32,0.29325544834136963,1.3330475091934204,-0.09467833489179611,-0.32749104499816895,-0.7730799913406372
volume_sn_voxels::v33,1.2092047929763794,1.4860771894454956,0.2631373107433319,-0.21927548944950104,-0.9567107558250427
volume_sn_voxels::v34,-0.2819158732891083,-0.7764859199523926,0.8273472785949707,0.38266679644584656,0.28401637077331543
volume_sn_voxels::v35,0.022944262251257896,-0.671241283416748,0.4988311529159546,0.37841665744781494,0.09217621386051178
volume_sn_voxels::v36,-0.1382768750190735,-0.42568597197532654,0.1334826797246933,0.169860377907753,0.22658565640449524
volume_sn_voxels::v37,-0.2826240062713623,-0.18260253965854645,-0.22850531339645386,-0.14413152635097504,-0.20946453511714935
volume_sn_voxels::v38,-0.09801120311021805,0.34947848320007324,-0.29118776321411133,-0.5292888283729553,-0.33532455563545227
volume_sn_voxels::v39,0.19253945350646973,0.9921939373016357,-0.24312222003936768,-0.5809367299079895,-0.7666800022125244
volume_sn_voxels::v40,0.9692670702934265,1.1101821660995483,-0.14688225090503693,-0.7595167756080627,-1.086151361465454
volume_sn_voxels::v41,-0.19857382774353027,-0.12149117141962051,0.5306708812713623,0.31398114562034607,0.011936946772038937
volume_sn_voxels::v42,-0.21376584470272064,-0.30604806542396545,0.37841081619262695,0.04550105333328247,-0.03652208298444748
volume_sn_voxels::v43,0.05832597613334656,-0.19642312824726105,0.07072935253381729,-0.05858439579606056,-0.19106297194957733
volume_sn_voxels::v44,0.028773531317710876,0.13558687269687653,-0.10226742178201675,-0.5191237330436707,-0.3541782796382904
volume_sn_voxels::v45,0.35245251655578613,0.45815882086753845,-0.20833726227283478,-0.6840408444404602,-0.6465891599655151
volume_sn_voxels::v46,0.9419704079627991,1.0267730951309204,-0.16811878979206085,-0.9226047396659851,-0.8210387825965881
volume_sn_voxels::v47,1.180457353591919,1.0527806282043457,-0.2533646821975708,-0.9123324751853943,-1.0510778427124023
volume_sn_voxels::v48,-0.1763884276151657,-0.06750095635652542,0.06287320703268051,0.06777799874544144,-0.2278129756450653
volume_sn_voxels::v49,-0.02730182744562626,-0.0030756890773773193,0.11468958854675293,0.25564467906951904,-0.3235817849636078
volume_sn_voxels::v50,0.3030856251716614,-0.019979244098067284,-0.10599461197853088,-0.0004388087836559862,-0.4121592938899994
volume_sn_voxels::v51,0.5820135474205017,0.31336209177970886,-0.06392721086740494,-0.5824019908905029,-0.5605898499488831
volume_sn_voxels::v52,1.1196821928024292,0.5936662554740906,-0.16454778611660004,-0.8971273303031921,-0.7844588756561279
volume_sn_voxels::v53,1.3280059099197388,0.9706616997718811,-0.09437791258096695,-1.0452337265014648,-1.0612133741378784
volume_sn_voxels::v54,-0.1801091879606247,0.031483303755521774,0.031979694962501526,0.01618158258497715,-0.29970523715019226
volume_sn_voxels::v55,0.2718522250652313,0.2994430959224701,0.06035306677222252,-0.12971611320972443,-0.447218120098114
volume_sn_voxels::v56,0.9641487002372742,0.5455137491226196,0.06867863982915878,-0.6971303820610046,-0.6967073678970337
volume_sn_voxels::v57,1.2451204061508179,0.8570663332939148,0.12433507293462753,-0.8263489603996277,-0.965569019317627
volume_sn_voxels::v58,0.06993534415960312,-0.04934210702776909,0.17414547502994537,-0.01503811776638031,-0.299703985452652
volume_sn_voxels::v59,-1.237380027770996,1.2902437448501587,-0.716447114944458,0.8744844794273376,-0.3028935194015503
volume_sn_voxels::v60,-0.1702500581741333,1.300647497177124,-0.23502035439014435,0.1565725952386856,-0.18117734789848328
volume_sn_voxels::v61,-0.3321763277053833,1.3934359550476074,0.9807090759277344,0.44667017459869385,-0.43180543184280396
volume_sn_voxels::v62,0.3649942874908447,0.77484530210495,-0.9019256234169006,0.24413882195949554,-0.051138222217559814
volume_sn_voxels::v63,0.353861927986145,1.3461579084396362,-0.03435152396559715,0.25596654415130615,0.04078501835465431
volume_sn_voxels::v64,0.554840624332428,1.329565405845642,1.0076448917388916,0.07326292991638184,-0.1535731852054596
volume_sn_voxels::v65,0.13329698145389557,0.05413655564188957,-1.151358723640442,0.3271331787109375,0.03774268925189972
volume_sn_voxels::v66,0.4920788109302521,0.7303638458251953,-1.0330896377563477,0.20152635872364044,0.4282107353210449
volume_sn_voxels::v67,0.9310101866722107,1.5042577981948853,0.18373139202594757,0.013725809752941132,0.24030496180057526
volume_sn_voxels::v68,1.075888752937317,1.2306360006332397,1.1040235757827759,0.1328197568655014,-0.16275131702423096
volume_sn_voxels::v69,-0.23740486800670624,-0.5200020670890808,-1.1173136234283447,0.4386109411716461,0.20655259490013123
volume_sn_voxels::v70,-0.039369355887174606,-0.27587947249412537,-1.0127756595611572,0.20426321029663086,0.3265736699104309
volume_sn_voxels::v71,0.39277830719947815,0.24996615946292877,-0.4940445125102997,0.2051084041595459,0.363841712474823
volume_sn_voxels::v72,1.0065507888793945,1.2560315132141113,0.38695773482322693,0.18678350746631622,0.1480085402727127
volume_sn_voxels::v73,1.3963732719421387,1.3324055671691895,1.0834053754806519,0.2219337373971939,-0.19993509352207184
volume_sn_voxels::v74,-0.4933098256587982,-0.9746196866035461,-0.9880911707878113,0.4608076810836792,0.23188766837120056
volume_sn_voxels::v75,-0.597309410572052,-0.8342183232307434,-1.134407877922058,0.45618757605552673,0.550423264503479
volume_sn_voxels::v76,-0.5654210448265076,-0.5416393280029297,-1.0402346849441528,0.35781192779541016,0.428352028131485
volume_sn_voxels::v77,-0.28659138083457947,-0.13422484695911407,-0.4841064512729645,0.1633359044790268,0.23179374635219574
volume_sn_voxels::v78,0.2290802150964737,0.5733593702316284,-0.09388124942779541,0.05065522715449333,0.07315078377723694
volume_sn_voxels::v79,0.9201539158821106,1.0963503122329712,0.4612613618373871,0.21712307631969452,-0.2223600298166275
volume_sn_voxels::v80,-0.6053470969200134,-0.9458234906196594,-0.46220436692237854,0.5933058857917786,0.17927411198616028
volume_sn_voxels::v81,-0.7333125472068787,-0.8199312090873718,-0.6274873614311218,0.6040522456169128,0.33460843563079834
volume_sn_voxels::v82,-1.0145987272262573,-0.6971065998077393,-0.7870586514472961,0.385108083486557,0.35683485865592957
volume_sn_voxels::v83,-1.0197957754135132,-0.3204726278781891,-0.3452286422252655,0.053518056869506836,0.23280176520347595
volume_sn_voxels::v84,-0.7857419848442078,0.16694243252277374,0.09002170711755753,0.045041631907224655,0.10011763870716095
volume_sn_voxels::v85,-0.14065000414848328,0.8181276321411133,0.33813318610191345,0.050015028566122055,-0.24051940441131592
volume_sn_voxels::v86,0.8378031849861145,1.0627235174179077,0.6366149187088013,0.14307181537151337,-0.537674069404602
volume_sn_voxels::v87,-0.39047661423683167,-0.9434803128242493,0.5524864196777344,0.5515355467796326,0.19047152996063232
volume_sn_voxels::v88,-0.6162769794464111,-0.8724160194396973,0.5651950836181641,0.5164807438850403,0.294751912355423
