factor_index,max_loading,mean_loading,median_loading,std_loading,nonzero_count,nonzero_pct,is_effective
0,2.0682,0.5346,0.4412,0.4076,1783,0.9862,True
1,2.7169,0.5384,0.3979,0.462,1790,0.99,True
2,2.5383,0.4797,0.306,0.4632,1771,0.9795,True
3,2.4246,0.4854,0.3315,0.4517,1770,0.979,True
4,2.1637,0.4902,0.3592,0.4276,1785,0.9873,True
5,2.0578,0.5099,0.3737,0.4276,1781,0.9851,True
6,2.7472,0.5446,0.4027,0.4557,1789,0.9895,True
7,1.9873,0.579,0.4845,0.4516,1786,0.9878,True
8,2.2416,0.6215,0.5318,0.4553,1786,0.9878,True
9,2.0989,0.5325,0.4152,0.4406,1781,0.9851,True
10,2.0841,0.5761,0.4502,0.4608,1777,0.9829,True
11,2.5399,0.5653,0.4711,0.4396,1791,0.9906,True
12,2.5403,0.5108,0.3816,0.4523,1778,0.9834,True
13,2.4355,0.5491,0.3883,0.4773,1791,0.9906,True
14,2.207,0.5814,0.4731,0.4533,1780,0.9845,True
15,2.3553,0.5321,0.3694,0.4768,1779,0.984,True
16,3.099,0.5755,0.4388,0.4662,1789,0.9895,True
17,2.4904,0.4741,0.3511,0.4083,1775,0.9817,True
18,2.2768,0.6654,0.6218,0.443,1793,0.9917,True
19,2.2718,0.5466,0.4173,0.4449,1787,0.9884,True
