Factor_Index,Matches,Match_Rate_%,Status,Mean_Similarity
0,1,25.0,Unstable,0.6280128248035908
1,2,50.0,Unstable,0.6033207848668098
2,2,50.0,Unstable,0.5767121631652117
3,3,75.0,Robust,0.7335832491517067
4,2,50.0,Unstable,0.5595700554549694
5,1,25.0,Unstable,0.32561565935611725
6,1,25.0,Unstable,0.5965076237916946
7,1,25.0,Unstable,0.40185046195983887
8,2,50.0,Unstable,0.5548563078045845
9,3,75.0,Robust,0.7215083483606577
10,2,50.0,Unstable,0.7004273347556591
11,3,75.0,Robust,0.7582565657794476
12,2,50.0,Unstable,0.7352520525455475
13,3,75.0,Robust,0.7134867832064629
14,4,100.0,Robust,0.8852683454751968
15,2,50.0,Unstable,0.5625744387507439
16,2,50.0,Unstable,0.5633191652595997
17,1,25.0,Unstable,0.4314982332289219
18,2,50.0,Unstable,0.7206947915256023
19,2,50.0,Unstable,0.5773335620760918
