Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
0.039812773,0.99408823,-0.46087965,1.2383821,0.061993856
0.121379554,-0.038932785,-0.64121574,1.0704628,0.075799
-0.51987565,1.4213352,0.3052548,1.3081838,0.47644582
0.046892542,-0.5845459,-0.17796646,1.1946387,0.13399541
-0.45495608,0.19951972,-0.49259678,1.2443265,0.112075545
-0.42967147,0.21262096,0.68058974,1.5877098,0.5060122
0.26421586,0.47429526,1.0885863,1.6160846,0.6667236
-1.101333,0.49399245,0.1970665,1.4574637,0.16301008
-0.41312093,0.7810515,-0.15515636,1.4396152,0.05523972
0.51503,1.1272335,0.75972,1.3800042,0.013464321
1.3124436,0.2042383,0.7474769,1.6005007,0.19020984
-0.5628945,0.18458836,0.6864704,1.602439,0.19400433
-0.54315406,0.040274296,0.48576283,1.7217025,0.22015302
0.60317254,-0.1683911,0.335276,1.6038803,0.18591948
-0.06231252,0.17500779,-0.29421484,1.4488975,0.06098814
0.5516195,-0.044448923,-0.10040185,1.3647624,-0.40864152
-0.27205983,-0.36750793,1.1326461,1.0268121,-0.45680636
-0.3180527,-0.3406211,0.6434667,1.4057477,-0.09845696
0.986189,0.24630447,0.78487694,1.4280986,0.13522342
0.10116756,-0.032250986,0.84782505,1.6028901,0.114434935
-1.4784063,0.086120225,0.6235591,1.5720191,0.06743928
-0.23567568,0.525281,0.38810945,1.7156776,0.19669947
0.34246263,0.07837783,0.6993546,1.5824416,0.13524184
-0.2782982,0.60638577,1.0405725,1.6913413,0.1552845
1.802182,-0.93790144,0.17276487,1.494251,0.20673056
0.48166317,0.394155,1.0194806,1.0343693,-0.30381545
0.10781592,0.2886141,0.4751263,1.3662117,-0.1874449
-0.63843155,0.8132429,0.74475616,1.5619308,-0.039129224
0.33113214,-0.6502569,0.8111133,1.613895,0.081442185
-0.9739369,-0.5412354,0.62513834,1.6709177,0.0895732
1.0549802,0.07150219,0.525857,1.6492598,-0.3581813
0.19532184,-0.26382422,0.45434177,1.7282977,0.100688934
-0.18139112,-0.21242215,0.34465945,1.7423961,0.08367748
-0.5757731,0.45724154,-0.14746681,1.5107493,-0.073166765
-0.9463086,0.37902072,0.19693165,1.2488291,-0.23592332
-0.45833072,0.33425838,0.28266555,1.5265353,0.03363495
0.7379562,-0.05161523,0.39871636,1.7051224,0.522084
-0.65157217,0.21191633,0.50857615,1.6319889,-0.018302083
-0.14087644,0.612968,0.7286563,1.6833634,0.093834676
-1.0051571,0.22462308,0.367288,1.6935396,0.11961428
0.048464987,-0.6993536,0.3650576,1.6385989,0.062350843
-0.342691,-0.010248746,-0.3978641,1.2648194,-0.19779582
0.576585,-0.06010042,-0.3003732,1.5117775,-0.13902302
0.4208353,-1.2746751,0.24361281,1.5261605,-0.08025513
-0.6772674,-0.09394197,0.33558252,1.6150038,0.0011748709
1.9158945,-0.75170755,0.30903298,1.6470162,-0.14535047
-0.93590677,0.23029259,0.39908525,1.5991672,0.027112795
0.06789436,0.6526298,0.5280275,1.7517066,-0.013446097
-1.4173465,-1.1296309,0.20276138,1.3616838,-0.18139718
0.4639592,-1.2766688,-0.28737667,1.39415,-0.645051
-0.13449714,0.88793665,0.0038888026,1.2048246,-0.25922036
-0.26965323,0.2874115,0.14609043,1.5355799,-0.12830326
0.24788216,-1.0371697,0.34214583,1.5193974,-0.05558336
-0.5084231,-1.1866937,0.40254384,1.5153021,-0.035943493
-0.10140187,0.20439537,-0.51318115,1.1836394,-0.2398037
0.013550391,-0.24464744,-0.81159186,1.4279784,-0.22466688
0.9721339,0.16089638,0.07862563,1.2527823,-0.2737804
0.4883765,1.3012445,0.23183519,1.2969015,-0.24380368
0.11274866,-0.6675768,-0.74633795,0.7903653,-0.40089938
-1.3002769,-0.7148772,-0.8211404,0.9962257,0.11102361
0.37642857,-0.6453801,-0.89793575,0.86796427,0.07449274
1.0031284,-0.22152406,-0.9219735,0.773632,-0.032587253
-0.34251443,-0.5324984,-0.6076646,1.1562881,0.17318656
-1.0897465,0.98713493,-0.71379226,1.1310433,1.6080322
-0.5345972,0.007560195,-0.8884229,0.9367298,-0.068914145
-0.14722657,5.0286773e-05,0.18337184,1.3606716,0.15270188
1.2510779,-0.5940156,0.8471754,-2.973888,-0.56457865
-0.4812761,1.9038463,-0.64689624,1.1873893,0.018162915
-0.02995788,0.21396315,-0.61418915,1.066535,-0.11564933
0.5431784,-1.1936871,0.5952933,1.4519426,0.12801693
0.33178738,-2.0955474,-1.8688713,1.4456087,0.10752225
-0.73560643,-0.46504983,0.010605023,1.4432688,0.12517077
0.18933614,0.67520934,-0.12314164,1.5641999,0.026094796
-0.7761516,0.49927902,-0.40481314,1.1887213,-0.24845728
-0.6289992,-0.69643486,0.63627875,1.4421031,-0.58694106
0.2001099,0.056134425,1.0346854,1.918846,0.16281013
0.47908366,0.43109787,0.51988894,1.3906485,-0.1692298
0.27222192,-0.51527923,0.3989477,1.6605896,0.12268279
0.3035245,1.0944991,0.37583527,1.4498763,0.03748258
-0.3873894,-1.480983,0.28350794,1.402255,-0.015320619
0.64585906,-1.046946,0.69826776,1.4360411,-0.15843186
-0.29133978,1.324181,0.6295148,1.6273216,0.3872068
0.91447407,-0.14522025,0.73430073,1.5814271,-0.06803837
0.02339836,-2.5691476,0.6717896,1.6485726,0.10150316
1.0775862,0.21161984,0.82413965,1.6472422,0.078648694
0.046642404,-0.39252314,0.37800795,1.5191734,0.019031635
0.24536292,0.21026808,-0.3702255,1.4295486,-0.027179629
0.58792424,0.49825385,0.41205752,1.3001018,-0.21267727
0.22427353,0.42895862,0.11421053,1.4411998,-0.14036556
0.78812426,-0.23106644,0.65302676,1.6465223,-0.07939732
1.0293622,0.6304865,0.9605624,1.8598844,-0.22238633
-0.52392167,0.6268621,0.34055248,1.5960654,-0.11586979
0.99660945,0.03656285,0.5485614,0.9684151,-0.28761214
-0.79229385,0.3691745,0.13217515,1.7264631,0.19761491
-0.04596712,0.12850946,0.4156256,1.5468199,-0.039390426
0.45771313,-0.39178026,-0.27703542,1.1925182,-0.35459876
-1.5380836,-0.46660113,0.071233004,1.3149717,-0.28765008
0.28580427,0.8756958,0.26293898,1.4320012,-0.20254594
-0.3333179,-0.49134675,0.45236865,1.5084883,-0.3884576
-0.30600703,-0.5348493,0.40656778,1.8102801,0.73643047
-0.32297212,-0.6932087,0.5010774,1.6880338,-0.03173234
0.10599994,0.6542359,0.47489002,1.5135164,-0.16129933
0.09832979,0.7202703,0.8421001,1.8754605,0.049522925
0.04607688,1.2094032,-0.6519959,1.0229348,-0.9105604
-1.1025287,-0.53635514,-0.73836756,1.3371127,-0.3108361
0.15179324,0.30195418,-0.024441628,1.3698823,-0.2618392
0.15352109,-0.914354,-0.28458095,1.6569375,0.0818091
0.22094308,0.42621967,0.4376372,1.5561991,-0.2117185
1.6950716,-0.016276482,1.1069314,1.6922765,-0.07137044
0.56551135,-0.8121544,0.65043426,1.6965288,1.0642068
-0.8777074,0.52445567,0.6249104,1.5815848,-0.1370179
-0.34206796,0.080715284,-1.2579368,1.006194,-0.25419924
-0.7140215,0.4096075,-0.68784636,1.2575138,-0.25007382
-0.34314135,0.53227085,-0.4492332,1.3442734,-0.26661488
-0.11251525,0.4080827,0.868084,1.4361311,-0.18926328
