Subject_ID,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20
Subject_1,0.9132708,-1.9229523,-1.0258722,-1.1815712,-0.19957523,-1.4643956,-0.5824234,-0.6966049,-0.3737766,0.37749264,-1.5343671,-0.39404178,0.43949774,1.133139,-1.0015064,-0.47502702,-0.12976722,-1.7747787,1.3145124,0.28901947
Subject_2,-0.68513125,0.04739046,1.6941098,-0.81928957,0.5906049,0.6969509,-0.13937475,-1.6160096,-0.8649339,1.7945786,0.4787383,0.16229203,-1.0308936,0.21214995,0.022560935,-0.24068147,0.38569272,-0.12241791,0.55787164,0.35727245
Subject_3,1.2172191,-1.124764,-0.54329276,0.047372375,-0.8886393,0.15336725,0.43467206,-1.2110552,0.15507592,0.3114167,0.6673142,0.61110026,0.58672154,-0.0115728155,1.1038775,0.36337572,0.11013339,0.28949994,1.0708647,0.12870345
Subject_4,0.017386766,-1.8520496,0.31955144,-0.19582357,-0.16506365,-0.65029675,-0.47478023,1.1652315,0.16787305,0.3475595,-1.5341742,1.2701933,2.735517,0.85016423,0.24555273,-0.31883752,0.42862245,-0.02801595,2.0079968,0.2593398
Subject_5,-0.129391,-0.088736564,0.9270408,-0.3177015,0.6378936,0.9567417,-1.2163723,-0.11348236,-0.5897195,0.6566217,0.89983237,-1.7422673,1.09113,-3.4814365,-0.13260229,-0.12820145,-0.6544074,0.5809825,-1.3940103,-0.043695834
Subject_6,0.6789736,1.2895352,0.30415565,0.5218425,0.084688544,0.42320552,-2.193997,-0.69263554,1.7868681,1.6766651,-0.64271253,-0.10297057,0.717716,0.30618185,-1.1929249,-0.4793858,1.3315489,-0.99819154,-2.0656357,-0.43215525
Subject_7,0.14204468,-0.7099756,-1.312122,-0.04799101,-0.3534289,1.3855991,-0.28808793,-0.98040897,1.0130353,-1.8585714,-0.66655755,-0.40713233,-0.668996,1.7612765,0.63797945,0.45132193,1.961855,-0.36141905,1.0492355,1.2321906
Subject_8,-1.3232386,-0.2843626,-0.26255125,-0.11404872,2.2307987,-0.41096237,-0.32522196,-0.6772481,1.0701731,1.1050757,-0.5400081,-0.054730415,-0.3026081,-0.43277133,-1.3691386,-1.1212769,-0.2629847,-0.5264725,0.4991851,-0.47610942
Subject_9,-1.0674053,-0.22172122,-1.1470069,-2.657979,1.4842644,2.1062744,-0.530275,-0.13340871,-0.09581965,1.3572935,-0.49157554,0.32869264,0.40125299,-0.74187404,0.056281842,0.9344924,1.2813302,-0.7182705,-0.9106642,-1.0921633
Subject_10,-1.5327406,1.5261581,0.9451696,-0.37761727,-1.2720801,0.75786835,2.0962486,0.2964028,-2.1146154,0.37304938,-2.4525342,0.5816668,-0.08081609,0.42082953,2.0739973,1.2285217,-1.2562122,-0.3120425,0.49516237,-1.6679183
