Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20
-0.9182961,1.1086679,1.127049,-1.6154909,1.3602147,-0.67857724,0.33606803,0.0029247464,-0.42981458,-1.3192748,0.7998789,-0.08191997,1.0059009,-0.8905373,-0.12384083,-0.7849452,-0.027726563,-0.92410666,1.0356265,0.07348751
0.8140584,1.3132949,1.7868404,-0.7910133,0.4379889,1.5837957,1.0167596,-2.645366,0.57036847,0.36201787,0.31975606,-0.69892174,0.7630494,0.48003927,0.16871338,0.60010034,1.2070101,-1.6829367,-0.19867046,0.3602477
1.027485,1.2401459,-1.7615424,2.1322463,0.43543193,0.021343479,-0.950532,0.20750077,-1.0907003,-0.5665952,0.32629836,1.2879852,-1.2820079,0.076063655,0.3913708,0.13433908,-0.077085555,-0.96291333,-0.84498864,-0.16322866
-1.1836147,-1.5401438,-0.24871804,-0.13120084,0.59079844,0.5342081,0.68295807,-0.5678335,-0.09008246,-1.3532022,0.8042405,-0.49176463,-0.035477553,-1.6473631,-0.3480233,-1.3934305,0.012193394,-0.5291207,-0.48854828,0.14716537
2.0440702,0.2843352,0.6702993,-1.2080818,0.30386192,-0.49601796,-0.4062256,-1.5041459,0.35656607,-1.4355878,0.7557902,0.27547628,-1.0729133,0.67810416,1.3417628,-1.1469696,0.71284544,1.0006275,-0.22622482,-0.013095049
0.42873928,0.19169085,-1.2301303,-0.5588364,-0.0011964791,-0.65271974,0.44048813,0.40609327,-0.14139928,-0.18790899,-0.5186982,0.31650105,-0.056609284,-0.37008017,0.35842118,0.5460507,-0.8993385,-1.4290062,0.14749114,-0.77859986
-1.6227342,-1.2390434,-0.5237024,0.10015257,-0.34191117,1.0055321,-0.7276437,-0.8493115,-0.2234701,1.4505986,0.8421866,-0.50777984,0.8420774,-0.7668858,0.93174094,0.7518261,-0.7152825,-0.37888125,1.5837657,-0.056709252
0.43020535,-0.26987502,-1.0576563,-0.3934576,-1.7916545,0.0010864538,1.4309642,-0.4709119,-0.5109063,1.3074197,-2.1992795,-0.0659428,-0.840983,0.31813315,-0.14718956,0.6874393,-1.1114383,0.68300134,-0.05789509,-0.4130816
-1.7925991,-0.42361078,0.38385043,1.59037,0.6436369,-0.5069342,-0.9010022,1.2946163,-0.9250235,-0.63135046,0.06292669,-0.8450652,-0.09518367,0.39864832,0.09750673,0.091778874,-1.2424686,-1.0677022,-0.4022795,1.3399158
0.46684846,0.08139792,0.4290834,-0.62588584,-0.038853996,1.0009484,0.5761353,0.33121064,-1.2651854,0.42600048,-0.915831,3.236694,-0.72069407,-1.0316811,1.3621457,0.64374065,-0.7759779,-0.15586978,0.016859327,1.1710474
-0.1268296,0.45698634,0.90397644,0.55970514,0.45022675,0.82197183,0.30190358,0.08583549,-0.2640684,2.3367603,-1.7721257,-0.86454976,2.1225374,0.9707251,1.6766175,0.5110466,-0.9288206,0.178203,-0.9100105,1.2755898
-0.94504887,-1.7107394,0.79306906,0.9279307,0.4983865,0.5983598,1.1576909,0.5731199,0.06704532,-0.4671805,-1.2053816,1.2807084,-0.1032629,-0.10945946,0.11765867,-1.8467286,0.40633917,0.5643135,-0.5561856,-0.03353214
-0.23435038,-0.8763487,-1.9560661,-0.42518276,1.2115672,-2.3711488,-0.004083291,1.3797431,1.0113767,-0.69369584,-0.52375305,-0.2955743,-0.572828,0.8325549,0.21823029,-0.9066834,0.20923994,-0.802683,0.099603385,-0.72371256
-0.74924076,-0.7897878,-0.32798177,0.2751739,-0.011393885,0.73023635,1.0313373,-1.0254239,-0.67432,1.1113808,0.54021037,0.86872476,0.48488593,-0.57490844,-0.36827242,0.11840577,0.31577608,0.6133922,1.5161172,-0.8861068
-0.23506434,-1.2325945,0.08306876,-1.2171245,-1.1309384,-1.8235344,0.5076013,-1.0182186,-0.36732683,1.1325096,0.2601051,1.2233019,-0.07455521,-1.2615275,-0.35914186,2.2977781,0.5156801,-1.7856425,1.562135,-0.7459227
-0.5821762,0.84014624,1.0654191,0.027316745,-0.43903077,0.13009992,-0.41156614,1.096762,-0.26477963,-1.1132087,0.06821795,-0.8177132,0.07699672,-1.515507,-0.9570512,1.2058103,-0.9443267,0.23418112,0.62899435,0.6351378
0.023563297,0.26572785,-0.5199271,-0.92659926,-0.6342665,-1.1730334,-1.3822696,-0.6706678,-0.64052695,0.24926293,-0.36304817,1.1912174,0.77771693,1.3473527,0.15244797,-1.1950358,0.22852433,0.8845301,1.029441,-0.10114781
