Feature,Factor_0,Factor_1
volume_sn_voxels::v0,0.0003134814,-0.0007027583
volume_sn_voxels::v1,0.00039371132,-0.0006567244
volume_sn_voxels::v2,0.00038759166,-0.0008113713
volume_sn_voxels::v3,0.0004568862,-0.00082406396
volume_sn_voxels::v4,0.00051460974,-0.0007208243
volume_sn_voxels::v5,0.00046301816,-0.0008130608
volume_sn_voxels::v6,0.0005125604,-0.0008339431
volume_sn_voxels::v7,0.00052534556,-0.0007752073
volume_sn_voxels::v8,0.0006371197,-0.0008124068
volume_sn_voxels::v9,0.0005122979,-0.0005578804
volume_sn_voxels::v10,0.00045313907,-0.0006087511
volume_sn_voxels::v11,0.0004731156,-0.00070541503
volume_sn_voxels::v12,0.00048139662,-0.00072374806
volume_sn_voxels::v13,0.0005437815,-0.00079987483
volume_sn_voxels::v14,0.00053521607,-0.0007156251
volume_sn_voxels::v15,0.00066025404,-0.00078605174
volume_sn_voxels::v16,0.000568652,-0.00021162682
volume_sn_voxels::v17,0.00058090966,-0.0003863177
volume_sn_voxels::v18,0.0006255399,-0.0006038848
volume_sn_voxels::v19,0.00052221364,-0.0006733816
volume_sn_voxels::v20,0.00056881376,-0.00078390393
volume_sn_voxels::v21,0.0005980904,-0.0008655329
volume_sn_voxels::v22,0.0006632463,-0.0009230832
volume_sn_voxels::v23,0.0006471586,-0.00083430955
volume_sn_voxels::v24,0.0006701254,-0.0007761961
volume_sn_voxels::v25,0.00055564,-0.00028106733
volume_sn_voxels::v26,0.0006333034,-0.00045396376
volume_sn_voxels::v27,0.00067633664,-0.00067441666
volume_sn_voxels::v28,0.0007189825,-0.00087931193
volume_sn_voxels::v29,0.0007036804,-0.0009218889
volume_sn_voxels::v30,0.0007775554,-0.0010188746
volume_sn_voxels::v31,0.0007907891,-0.0010496773
volume_sn_voxels::v32,0.000740149,-0.00093590806
volume_sn_voxels::v33,0.0007779518,-0.0008528263
volume_sn_voxels::v34,0.00058316754,-0.0004927154
volume_sn_voxels::v35,0.0007089598,-0.0007497962
volume_sn_voxels::v36,0.00076052547,-0.00090402196
volume_sn_voxels::v37,0.00076459185,-0.0009419549
volume_sn_voxels::v38,0.0007646026,-0.0009634847
volume_sn_voxels::v39,0.0008807088,-0.0011076388
volume_sn_voxels::v40,0.0007310976,-0.0008873856
volume_sn_voxels::v41,0.00055730465,-0.00058203493
volume_sn_voxels::v42,0.0006723577,-0.0007575166
volume_sn_voxels::v43,0.0008176338,-0.0009498436
volume_sn_voxels::v44,0.00073665637,-0.0008838144
volume_sn_voxels::v45,0.00074823113,-0.00086340454
volume_sn_voxels::v46,0.00072437804,-0.0008305268
volume_sn_voxels::v47,0.0007106167,-0.00075471285
volume_sn_voxels::v48,0.0005002322,-0.0005618567
volume_sn_voxels::v49,0.00061962387,-0.0006763101
volume_sn_voxels::v50,0.00076055224,-0.00083335
volume_sn_voxels::v51,0.0007728237,-0.000791508
volume_sn_voxels::v52,0.0007538867,-0.00075173366
volume_sn_voxels::v53,0.00071851717,-0.00065434334
volume_sn_voxels::v54,0.000508231,-0.000392607
volume_sn_voxels::v55,0.00073680363,-0.00054468523
volume_sn_voxels::v56,0.00082059536,-0.0005746225
