Feature,Factor_0,Factor_1
rigidity_left,4.687095133704133e-05,-0.00015420113049913198
rigidity_right,-6.946893699932843e-05,-3.0481507565127686e-05
tremor_rest_left,6.717989163007587e-05,-0.00038932589814066887
tremor_rest_right,0.00013838394079357386,-0.0002482791314832866
tremor_postural_left,-0.00011405957047827542,-0.0003899449366144836
tremor_postural_right,2.7176361982128583e-05,-5.4703414207324386e-05
bradykinesia_speed_left,0.00012966911890543997,9.711543680168688e-05
bradykinesia_speed_right,-1.817112570279278e-05,0.00012958826846443117
bradykinesia_amplitude_left,0.00018481825827620924,-1.5233115846058354e-05
bradykinesia_amplitude_right,-6.524311902467161e-05,4.517529305303469e-05
bradykinesia_rhythm_left,8.808873099042103e-05,0.00011595245450735092
bradykinesia_rhythm_right,0.0001169522583950311,0.00012648929259739816
mirrormovement_left,-0.000258967571426183,3.181855572620407e-05
mirrormovement_right,0.00020978247630409896,-4.6938061132095754e-05
