Feature,Factor_0,Factor_1
volume_sn_voxels::v0,0.0003419265558477491,-0.0007593964692205191
volume_sn_voxels::v1,0.00042087386827915907,-0.0007107896381057799
volume_sn_voxels::v2,0.00042010657489299774,-0.0008762304205447435
volume_sn_voxels::v3,0.0004922262742184103,-0.0008757008472457528
volume_sn_voxels::v4,0.0005534092779271305,-0.0007821068866178393
volume_sn_voxels::v5,0.0004906948306597769,-0.0008832428138703108
volume_sn_voxels::v6,0.0005444831913337111,-0.0009163971990346909
volume_sn_voxels::v7,0.000574552221223712,-0.0008366903639398515
volume_sn_voxels::v8,0.0006835420499555767,-0.0008694298448972404
volume_sn_voxels::v9,0.0005669213132932782,-0.0005940910195931792
volume_sn_voxels::v10,0.00048514455556869507,-0.0006621119100600481
volume_sn_voxels::v11,0.0004975816118530929,-0.0007518020574934781
volume_sn_voxels::v12,0.0005186767084524035,-0.0007817525183781981
volume_sn_voxels::v13,0.0005728296237066388,-0.0008568351622670889
volume_sn_voxels::v14,0.0005678504821844399,-0.0007696815300732851
volume_sn_voxels::v15,0.000705521903000772,-0.0008326518582180142
volume_sn_voxels::v16,0.0006238212808966637,-0.0002256931911688298
volume_sn_voxels::v17,0.0006286320276558399,-0.00040471780812367797
volume_sn_voxels::v18,0.0006631745491176844,-0.0006440241704694927
volume_sn_voxels::v19,0.0005761765060015023,-0.0007253308431245387
volume_sn_voxels::v20,0.0006052899407222867,-0.0008361914660781622
volume_sn_voxels::v21,0.0006508275400847197,-0.0009060485754162073
volume_sn_voxels::v22,0.0007259276462718844,-0.0009956152644008398
volume_sn_voxels::v23,0.0006854389794170856,-0.0008972017676569521
volume_sn_voxels::v24,0.0007408945821225643,-0.0008341500069946051
volume_sn_voxels::v25,0.0006057341233827174,-0.000306831207126379
volume_sn_voxels::v26,0.0006938294973224401,-0.0004946920671500266
volume_sn_voxels::v27,0.0007234617369249463,-0.0007096835761331022
volume_sn_voxels::v28,0.0007682875148020685,-0.0009260325459763408
volume_sn_voxels::v29,0.0007617510273121297,-0.000995266018435359
volume_sn_voxels::v30,0.0008111792267300189,-0.001094620325602591
volume_sn_voxels::v31,0.0008554777014069259,-0.0011427169665694237
volume_sn_voxels::v32,0.0007954603643156588,-0.001015207264572382
volume_sn_voxels::v33,0.0008266225922852755,-0.0009004966705106199
volume_sn_voxels::v34,0.0006211661966517568,-0.0005392516031861305
volume_sn_voxels::v35,0.0007598711526952684,-0.0007941713556647301
volume_sn_voxels::v36,0.0008232751279138029,-0.0009663492674008012
volume_sn_voxels::v37,0.0008168132626451552,-0.0010178940137848258
volume_sn_voxels::v38,0.000826758099719882,-0.001051293220371008
volume_sn_voxels::v39,0.0009286496788263321,-0.0011942654382437468
volume_sn_voxels::v40,0.0007871998241171241,-0.000961331941653043
volume_sn_voxels::v41,0.0006020664004608989,-0.0006266545969992876
volume_sn_voxels::v42,0.0007207991438917816,-0.0008048331364989281
volume_sn_voxels::v43,0.0008917296072468162,-0.0010385159403085709
volume_sn_voxels::v44,0.0007960285292938352,-0.0009385936427861452
volume_sn_voxels::v45,0.0007870962144806981,-0.0009350470500066876
volume_sn_voxels::v46,0.0007775914273224771,-0.0009005221072584391
volume_sn_voxels::v47,0.0007635375950485468,-0.0008180844597518444
volume_sn_voxels::v48,0.000538643216714263,-0.0006044619949534535
volume_sn_voxels::v49,0.0006613313453271985,-0.000720948213711381
volume_sn_voxels::v50,0.0008217561990022659,-0.0009077026625163853
volume_sn_voxels::v51,0.0008159737335518003,-0.0008640526211820543
volume_sn_voxels::v52,0.0008219719165936112,-0.0008048393065109849
volume_sn_voxels::v53,0.0007699692505411804,-0.0007056964095681906
volume_sn_voxels::v54,0.0005470032338052988,-0.00042651628609746695
volume_sn_voxels::v55,0.0007946802652440965,-0.0005852773319929838
volume_sn_voxels::v56,0.0008705517975613475,-0.000602975080255419
volume_sn_voxels::v57,0.0008240189054049551,-0.0005144049064256251
volume_sn_voxels::v58,0.0005539985140785575,0.000270563323283568
volume_sn_voxels::v59,0.0003163570654578507,-0.0003866851038765162
volume_sn_voxels::v60,0.00034706637961789966,-0.000539798173122108
volume_sn_voxels::v61,0.00032274669501930475,-0.0002668657398317009
volume_sn_voxels::v62,0.0004420877667143941,-0.0008409678703173995
volume_sn_voxels::v63,0.00046127126552164555,-0.0006694351905025542
volume_sn_voxels::v64,0.00040900136809796095,-0.00043284890125505626
volume_sn_voxels::v65,0.0005216649151407182,-0.0008519421680830419
volume_sn_voxels::v66,0.0005711033591069281,-0.0008245157077908516
volume_sn_voxels::v67,0.0005808232235722244,-0.0007043638615868986
volume_sn_voxels::v68,0.0005148592754267156,-0.0005344591336324811
volume_sn_voxels::v69,0.0005409624427556992,-0.0007391010876744986
volume_sn_voxels::v70,0.0005779247148893774,-0.0007716304971836507
volume_sn_voxels::v71,0.000619937782175839,-0.0007552338065579534
volume_sn_voxels::v72,0.0007157800137065351,-0.0007769404910504818
volume_sn_voxels::v73,0.0006517153815366328,-0.0006260541849769652
volume_sn_voxels::v74,0.0006845486350357533,-0.0006570809055119753
volume_sn_voxels::v75,0.0007180264219641685,-0.0008304773364216089
volume_sn_voxels::v76,0.000636379758361727,-0.0008073755889199674
volume_sn_voxels::v77,0.0006990150432102382,-0.0008841510862112045
volume_sn_voxels::v78,0.0006620989879593253,-0.0008024381240829825
volume_sn_voxels::v79,0.0007627384620718658,-0.0008129829657264054
volume_sn_voxels::v80,0.0009382077259942889,-0.0006581153138540685
volume_sn_voxels::v81,0.0008743194630369544,-0.0008191664237529039
volume_sn_voxels::v82,0.0007712951046414673,-0.0008829535800032318
volume_sn_voxels::v83,0.0008994621457532048,-0.0010964223183691502
volume_sn_voxels::v84,0.0008757582982070744,-0.0011039631208404899
volume_sn_voxels::v85,0.0008716577431187034,-0.001047526951879263
volume_sn_voxels::v86,0.0007667408790439367,-0.0008094295626506209
volume_sn_voxels::v87,0.0008420649101026356,-0.00046872938401065767
volume_sn_voxels::v88,0.0009476096602156758,-0.0007309892098419368
volume_sn_voxels::v89,0.0008845790871419013,-0.0008687093504704535
volume_sn_voxels::v90,0.0009324996499344707,-0.001037728856317699
volume_sn_voxels::v91,0.001036431291140616,-0.0012252465821802616
volume_sn_voxels::v92,0.0010352064855396748,-0.0012717387871816754
volume_sn_voxels::v93,0.0009336992516182363,-0.0010987275745719671
volume_sn_voxels::v94,0.0007808941882103682,-0.00078232103260234
volume_sn_voxels::v95,0.0007590202731080353,-0.000508837285451591
volume_sn_voxels::v96,0.0007999865338206291,-0.000622754218056798
volume_sn_voxels::v97,0.0008292563143186271,-0.0007486097165383399
volume_sn_voxels::v98,0.0009020187426358461,-0.0009358985698781908
volume_sn_voxels::v99,0.001013437518849969,-0.0011172483209520578
volume_sn_voxels::v100,0.0011203504400327802,-0.001296951319091022
volume_sn_voxels::v101,0.0010223397985100746,-0.0012030453654006124
volume_sn_voxels::v102,0.0009525932255201042,-0.0010557183995842934
volume_sn_voxels::v103,0.0006183503428474069,-0.000612113275565207
volume_sn_voxels::v104,0.0008061722619459033,-0.0008315136656165123
volume_sn_voxels::v105,0.0008518948452547193,-0.0009195206221193075
volume_sn_voxels::v106,0.0009424875024706125,-0.0010356694692745805
volume_sn_voxels::v107,0.001070790458470583,-0.001167736598290503
volume_sn_voxels::v108,0.0011456644861027598,-0.0012375256046652794
volume_sn_voxels::v109,0.0010643645655363798,-0.0011106925085186958
volume_sn_voxels::v110,0.000926781096495688,-0.0008742032805457711
volume_sn_voxels::v111,0.0006082659820094705,-0.0007331724045798182
volume_sn_voxels::v112,0.0007188604213297367,-0.0008800516370683908
volume_sn_voxels::v113,0.000927936693187803,-0.001095229061320424
volume_sn_voxels::v114,0.001135131809860468,-0.0012894182000309229
volume_sn_voxels::v115,0.0010431746486574411,-0.0010979344369843602
volume_sn_voxels::v116,0.001076550455763936,-0.001029357430525124
volume_sn_voxels::v117,0.0009576830198056996,-0.0007952118758112192
volume_sn_voxels::v118,0.0008269208483397961,-0.0005441763787530363
volume_sn_voxels::v119,0.0005930589977651834,-0.0006387373432517052
volume_sn_voxels::v120,0.0006353123462758958,-0.0007319345604628325
volume_sn_voxels::v121,0.0008638330036774278,-0.0009404892334714532
volume_sn_voxels::v122,0.0009535846766084433,-0.0009600468911230564
volume_sn_voxels::v123,0.0009902050951495767,-0.0008453596965409815
volume_sn_voxels::v124,0.0009662528755143285,-0.0006671554292552173
volume_sn_voxels::v125,0.0004998871590942144,-6.892220699228346e-05
volume_sn_voxels::v126,0.0007019886979833245,-0.00022435291612055153
volume_sn_voxels::v127,0.0007572684553451836,-0.00026021336088888347
volume_sn_voxels::v128,0.0008518905960954726,-0.00023321789922192693
volume_sn_voxels::v129,0.00023246686032507569,0.001316908630542457
volume_sn_voxels::v130,0.00039405288407579064,0.0009563647327013314
volume_sn_voxels::v131,0.00034155361936427653,-0.00045940361451357603
volume_sn_voxels::v132,0.0005370882572606206,-0.0007928037666715682
volume_sn_voxels::v133,0.0004777651047334075,-0.0005770578281953931
volume_sn_voxels::v134,0.0003861213044729084,-0.0003539902390912175
volume_sn_voxels::v135,0.0006403085426427424,-0.0007289271452464163
volume_sn_voxels::v136,0.00064912746893242,-0.0006353120552375913
volume_sn_voxels::v137,0.0005174136604182422,-0.00045061466516926885
volume_sn_voxels::v138,0.0006825663149356842,-0.0007287850603461266
volume_sn_voxels::v139,0.0007093595922924578,-0.0007014904404059052
volume_sn_voxels::v140,0.0007736879051662982,-0.0006897416315041482
volume_sn_voxels::v141,0.0006811038474552333,-0.0005273478454910219
volume_sn_voxels::v142,0.0008917094091884792,-0.0009271710878238082
volume_sn_voxels::v143,0.0008218204602599144,-0.0008895453065633774
volume_sn_voxels::v144,0.0008222935721278191,-0.0008351649157702923
volume_sn_voxels::v145,0.0008786999387666583,-0.000792137230746448
volume_sn_voxels::v146,0.0007707068580202758,-0.000574975274503231
volume_sn_voxels::v147,0.0010720372665673494,-0.0005435914499685168
volume_sn_voxels::v148,0.0010772617533802986,-0.0008097279351204634
volume_sn_voxels::v149,0.0009762278059497476,-0.0009349982719868422
volume_sn_voxels::v150,0.0009394623339176178,-0.0010242732241749763
volume_sn_voxels::v151,0.0009110075188800693,-0.001011469168588519
volume_sn_voxels::v152,0.0008931475458666682,-0.0009402847499586642
volume_sn_voxels::v153,0.000861785258166492,-0.0007722094305790961
volume_sn_voxels::v154,0.0007897806353867054,-0.0005371720180846751
volume_sn_voxels::v155,0.0009305800776928663,-0.0006027643103152514
volume_sn_voxels::v156,0.0009640346979722381,-0.0008182451128959656
volume_sn_voxels::v157,0.0010512913577258587,-0.001052136649377644
