Feature,Factor_0,Factor_1
Feature_0,0.00028343184385448694,0.0008202167809940875
Feature_1,0.00035431503783911467,0.0010228126775473356
Feature_2,0.00034711413900367916,0.0006820196867920458
Feature_3,0.0004080299404449761,0.0008303492213599384
Feature_4,0.0004558991640806198,0.0009501916938461363
Feature_5,0.0004015874583274126,0.0004967498825863004
Feature_6,0.0004458117764443159,0.0006067169015295804
Feature_7,0.0004644402943085879,0.0006856117397546768
Feature_8,0.0005702663329429924,0.0009031935478560627
Feature_9,0.00046583666699007154,0.00018809553876053542
Feature_10,0.0003918911679647863,0.000212649698369205
Feature_11,0.00040183690725825727,0.00029074150370433927
Feature_12,0.0004147141589783132,0.00037506880471482873
Feature_13,0.00046631769509986043,0.0004920662613585591
Feature_14,0.0004555984050966799,0.0005460575339384377
Feature_15,0.0005787893896922469,0.0007460219785571098
Feature_16,0.000513471954036504,0.00015598259051330388
Feature_17,0.0005283534410409629,0.00011015257041435689
Feature_18,0.0005441687535494566,0.0001344717456959188
Feature_19,0.00047233240911737084,0.00018026331963483244
Feature_20,0.000488378806039691,0.0002788950805552304
Feature_21,0.0005169811192899942,0.0003958252491429448
Feature_22,0.0005722436471842229,0.0005319849587976933
Feature_23,0.0005532150971703231,0.0005779574858024716
Feature_24,0.0006014009704813361,0.0006777297821827233
Feature_25,0.0004992066533304751,0.00018825936422217637
Feature_26,0.0005784466629847884,0.0001365709467791021
Feature_27,0.0005998297710902989,0.0001445505185984075
Feature_28,0.000629980000667274,0.00022865664504934102
Feature_29,0.0006204601959325373,0.00033236711169593036
Feature_30,0.0006551437545567751,0.0004710992216132581
Feature_31,0.0006711226888000965,0.0006848638877272606
Feature_32,0.0005195673438720405,0.00022273199283517897
Feature_33,0.0006288825534284115,0.0002472701307851821
Feature_34,0.0006713750772178173,0.0003031396772712469
Feature_35,0.000660825171507895,0.0003688219585455954
Feature_36,0.0006624272791668773,0.00044881386565975845
Feature_37,0.0004969683359377086,0.00038438139017671347
Feature_38,0.0005934480577707291,0.0003902380121871829
Feature_39,0.0007289114291779697,0.0004463655059225857
Feature_40,0.0006510491366498172,0.00039729668060317636
Feature_41,0.0006352203199639916,0.0004083586682099849
Feature_42,0.0006212423322722316,0.00043989834375679493
Feature_43,0.0006060810992494226,0.0004613928613252938
Feature_44,0.0004467393737286329,0.0005171307129785419
Feature_45,0.0005458962987177074,0.0005195180419832468
Feature_46,0.0006820954731665552,0.000547782052308321
Feature_47,0.0006708388682454824,0.00046823627781122923
Feature_48,0.0006601705681532621,0.00042145614861510694
Feature_49,0.0006143101491034031,0.0003885803453158587
Feature_50,0.00044915443868376315,0.0005635564448311925
Feature_51,0.0006442435551434755,0.0006443382008001208
Feature_52,0.0007028464460745454,0.0005766851827502251
Feature_53,0.0006655416800640523,0.00045341564691625535
Feature_54,0.0002902733685914427,0.001051406841725111
Feature_55,0.0002790435100905597,0.0010350386146456003
Feature_56,0.0003689353179652244,0.0008880566456355155
Feature_57,0.00038194365333765745,0.0010084833484143019
Feature_58,0.0003463405300863087,0.0009744921699166298
Feature_59,0.00042691550333984196,0.0006043181056156754
Feature_60,0.00046952650882303715,0.0007432920974679291
Feature_61,0.0004703664453700185,0.0008457416552118957
Feature_62,0.00042802002280950546,0.0008623793255537748
Feature_63,0.0004373897972982377,0.00035570800537243485
Feature_64,0.00046731613110750914,0.00045414845226332545
Feature_65,0.0004935775650665164,0.0005544174928218126
Feature_66,0.0005845884443260729,0.000753418542444706
Feature_67,0.0005385361146181822,0.0008079707040451467
Feature_68,0.0005746833048760891,0.00015315713244490325
Feature_69,0.0005897600203752518,0.000254106882493943
Feature_70,0.0005208498332649469,0.00032256380654871464
Feature_71,0.0005585832986980677,0.0004378067096695304
Feature_72,0.0005327138351276517,0.0004924951354041696
Feature_73,0.0006163989892229438,0.0006426817271858454
Feature_74,0.0007814523996785283,6.885843322379515e-05
Feature_75,0.0007139024091884494,0.00013828540977556258
Feature_76,0.0006324969581328332,0.0002392705500824377
Feature_77,0.0006148040993139148,0.000544424110557884
Feature_78,0.0007037292816676199,0.00012656730541493744
Feature_79,0.0007818490266799927,0.00011250752140767872
Feature_80,0.0007287549669854343,0.00017257286526728421
Feature_81,0.0006235948530957103,0.0004251539066899568
Feature_82,0.0006715058698318899,0.00029397342586889863
Feature_83,0.0006825774325989187,0.00024342085816897452
Feature_84,0.0007410518592223525,0.00028020463651046157
Feature_85,0.0005175733240321279,0.0005672643892467022
Feature_86,0.0006704082479700446,0.000562820874620229
Feature_87,0.0007082977099344134,0.00048761599464342
Feature_88,0.000781648326665163,0.00045400270028039813
Feature_89,0.0005160869914107025,0.0008019942324608564
Feature_90,0.0006060363375581801,0.0007798378355801105
Feature_91,0.0007735147955827415,0.0008129791240207851
Feature_92,0.0008809312712401152,0.00038352329283952713
Feature_93,0.0007717327098362148,0.00022195818019099534
Feature_94,0.0006665340042673051,0.0001337759313173592
Feature_95,0.0005032724002376199,0.0010122631210833788
Feature_96,0.0005315612070262432,0.000906259985640645
Feature_97,0.0007193732308223844,0.0009911968372762203
Feature_98,0.0007885299855843186,0.0008282877970486879
Feature_99,0.000813173595815897,0.0006087570800445974
Feature_100,0.0007922807708382607,0.0003702981339301914
Feature_101,0.0004045738896820694,0.0009626400424167514
Feature_102,0.0005627525388263166,0.0009960292372852564
Feature_103,0.000606333720497787,0.0007755951955914497
Feature_104,0.0006881456356495619,0.0005949499318376184
Feature_105,0.00029146860470063984,0.0009226658148691058
Feature_106,0.0004535152402240783,0.0008484763675369322
Feature_107,0.00039836359792388976,0.0009288400178775191
Feature_108,0.00031887198565527797,0.0008979112608358264
Feature_109,0.0005367770208977163,0.000627035740762949
Feature_110,0.0005323182558640838,0.0007892834837548435
Feature_111,0.00042907032184302807,0.0008133268565870821
Feature_112,0.0005587569321505725,0.00036751659354195
Feature_113,0.0005750010022893548,0.0004510781727731228
Feature_114,0.0006385210435837507,0.0006188364932313561
Feature_115,0.000559568521566689,0.000699379073921591
Feature_116,0.0007145885610952973,0.00030288129346445203
Feature_117,0.000660920690279454,0.0003653779567684978
Feature_118,0.0006627042894251645,0.0004207406600471586
Feature_119,0.00071300333365798,0.0005181253654882312
Feature_120,0.0006371244671754539,0.0005667436053045094
Feature_121,0.0008948110044002533,7.28090526536107e-05
Feature_122,0.0008883483824320138,0.0001219767436850816
Feature_123,0.0006465875776484609,0.0004017387400381267
Feature_124,0.0007762722671031952,0.00014032595208846033
Feature_125,0.0007958330679684877,0.00017475509957876056
Feature_126,0.0006787292077206075,0.0002506637538317591
Feature_127,0.0006420743884518743,0.0005536235985346138
Feature_128,0.0007180923130363226,0.00042279891204088926
Feature_129,0.0008454645867459476,0.00037932227132841945
Feature_130,0.0004237853572703898,0.0007346590864472091
Feature_131,0.0005860907258465886,0.0007828404195606709
Feature_132,0.0006804063450545073,0.0007097289199009538
Feature_133,0.0006616918835788965,-0.00010473176371306181
Feature_134,0.00038535811472684145,0.0007668511825613678
Feature_135,0.0005057118833065033,0.0009032729431055486
Feature_136,0.0006082599866203964,0.0009238632628694177
Feature_137,0.000763160758651793,0.0009561335318721831
Feature_138,0.0008150779758580029,-1.7351801943732426e-05
Feature_139,0.0006666703848168254,-0.00017673430556897074
Feature_140,0.0004723436722997576,0.0009981432231143117
Feature_141,0.0005681996699422598,0.0010752263478934765
Feature_142,0.0007812007097527385,0.0012307190336287022
Feature_143,0.0008531364146620035,0.0010220659896731377
Feature_144,0.0008194461697712541,0.0006269202567636967
Feature_145,0.0007662305142730474,0.0002485268923919648
Feature_146,0.000725947436876595,-6.294822378549725e-05
Feature_147,0.0006558261811733246,-0.0002548972552176565
Feature_148,0.0003641385701484978,0.0008792889420874417
Feature_149,0.0004824780917260796,0.0010761256562545896
Feature_150,0.0006850847275927663,0.0012476134579628706
Feature_151,0.0007773713441565633,0.001047654077410698
Feature_152,0.0007811299292370677,0.000670235080178827
Feature_153,0.000755036948248744,0.00026951736072078347
Feature_154,0.0006292319158092141,-7.010797708062455e-05
Feature_155,0.0005401257076300681,0.00047686361358501017
Feature_156,0.0005546461325138807,0.0005062802229076624
Feature_157,0.0006155044538900256,0.0007980872178450227
Feature_158,0.0004246287571731955,0.0007696484099142253
Feature_159,0.0006589693948626518,0.0003359919064678252
Feature_160,0.0007119530346244574,0.0004949964350089431
Feature_161,0.0005855472991243005,0.0006125002400949597
Feature_162,0.0007150624296627939,0.00018769240705296397
Feature_163,0.0006996526499278843,0.00019748558406718075
Feature_164,0.0007121536182239652,0.0002411237801425159
Feature_165,0.0006545386859215796,0.00035124068381264806
Feature_166,0.0008065477013587952,6.66277264826931e-05
Feature_167,0.0007161111570894718,8.709135727258399e-05
Feature_168,0.0007327707135118544,0.00012730181333608925
Feature_169,0.0006813632789999247,0.00012207793770357966
Feature_170,0.000728856772184372,9.400260751135647e-05
Feature_171,0.0007708985358476639,6.008942727930844e-05
Feature_172,0.0006915293051861227,0.0001146029680967331
Feature_173,0.0008070461335591972,0.00012661379878409207
Feature_174,0.0007728259079158306,0.00012105221685487777
Feature_175,0.0007154050981625915,-0.00011261599138379097
Feature_176,0.0007921478827483952,0.0003843744343612343
Feature_177,0.0006836256943643093,-0.00030492598307318985
Feature_178,0.0007315907860174775,-0.00031993488664738834
Feature_179,0.0005682784249074757,0.0008467031875625253
Feature_180,0.0006649579154327512,0.0007744337199255824
Feature_181,0.0008231296669691801,0.0007299748249351978
Feature_182,0.0008232262916862965,-0.0001912452862598002
Feature_183,0.000717293587513268,-0.00036365597043186426
Feature_184,0.0007066085236147046,-0.00048460211837664247
Feature_185,0.0006783112767152488,-0.0004519962822087109
Feature_186,0.0004091939772479236,0.0008827043930068612
Feature_187,0.0005123622831888497,0.0009929400403052568
Feature_188,0.0006419691490009427,0.0010474578011780977
Feature_189,0.0008216130081564188,0.0010917317122220993
Feature_190,0.0008574812090955675,6.193610897753388e-05
Feature_191,0.0008243108168244362,-0.00028587895212695
Feature_192,0.0006978284800425172,-0.00048231627442874014
Feature_193,0.0006528911180794239,-0.0005760758649557829
Feature_194,0.00045400927774608135,0.0010024518705904484
Feature_195,0.0005755717866122723,0.0011410637525841594
Feature_196,0.000633456336800009,0.0010379704181104898
Feature_197,0.0007524153916165233,0.0009056366397999227
Feature_198,0.0008964459411799908,0.0006229375721886754
Feature_199,0.0008422870887443423,0.0001200029655592516
Feature_200,0.0007953945314511657,-0.00030137778958305717
Feature_201,0.0006974844145588577,-0.0005515341181308031
Feature_202,0.00038822332862764597,0.0009103734046220779
Feature_203,0.0004686425090767443,0.0010198402451351285
Feature_204,0.0005320999771356583,0.0009650816209614277
Feature_205,0.0006361102568916976,0.0008527403697371483
Feature_206,0.0008015729254111648,0.0006274664192460477
Feature_207,0.000833474041428417,0.0001555774942971766
Feature_208,0.0007422331837005913,-0.00029432005248963833
Feature_209,0.0006028875941410661,-0.000529267534147948
Feature_210,0.0003910551022272557,0.000925846048630774
Feature_211,0.0004498908529058099,0.0008598210988566279
Feature_212,0.0005469612660817802,0.0007397572044283152
Feature_213,0.0007082775118760765,0.0005398498615249991
Feature_214,0.0007432788261212409,0.00010083321831189096
Feature_215,0.0003303473349660635,0.0010856087319552898
Feature_216,0.0005828304565511644,0.0007639601826667786
Feature_217,0.0004618321545422077,0.0009285872802138329
Feature_218,0.0006588107789866626,0.00022181487292982638
Feature_219,0.0006840467685833573,0.0003706403949763626
Feature_220,0.0006618011393584311,0.0006219999631866813
Feature_221,0.0006589375552721322,-1.2603225513885263e-05
Feature_222,0.0007056164904497564,-4.458743205759674e-05
Feature_223,0.0007843868806958199,-2.3387623514281586e-05
Feature_224,0.0007459293119609356,0.00015375188377220184
Feature_225,0.0007015252485871315,-7.971419836394489e-05
Feature_226,0.000706676219124347,-0.00016348675126209855
Feature_227,0.0007944581448100507,-0.0002902123669628054
Feature_228,0.0008112573996186256,-0.0003564208163879812
Feature_229,0.0007721520378254354,-0.00024282492813654244
Feature_230,0.0007712236256338656,-5.4482115956489e-05
Feature_231,0.0007300245342776179,-0.00015341932885348797
Feature_232,0.0007743034511804581,-0.00030927982879802585
Feature_233,0.0008455718634650111,-0.000506769516505301
Feature_234,0.0008563457522541285,-0.000633037241641432
Feature_235,0.0008436318603344262,-0.0005785621469840407
Feature_236,0.0008400335209444165,0.00034377389238215983
Feature_237,0.0008869281737133861,0.00017681525787338614
Feature_238,0.0009357515373267233,-2.9948070732643828e-05
Feature_239,0.0008095468510873616,-0.00022417936997953802
Feature_240,0.0007285454776138067,-0.00039350736187770963
Feature_241,0.0008169945795089006,-0.0006513312109746039
Feature_242,0.0009299624944105744,-0.0008965233573690057
Feature_243,0.0008136151591315866,-0.0007610096945427358
Feature_244,0.000771098886616528,0.0005900881951674819
Feature_245,0.000861475826241076,0.0003876572591252625
Feature_246,0.0009298707591369748,8.259729656856507e-05
Feature_247,0.0008484828867949545,-0.00024295866023749113
Feature_248,0.0008195065893232822,-0.0005277515738271177
Feature_249,0.0008164813043549657,-0.0007668735343031585
Feature_250,0.0007823242340236902,-0.0008761519566178322
Feature_251,0.0007087310077622533,-0.0007943796808831394
Feature_252,0.0004932745359838009,0.0008950877236202359
Feature_253,0.0006269044242799282,0.0009588783141225576
Feature_254,0.0007307693012990057,0.0008668201044201851
Feature_255,0.0008231097599491477,0.0006327606388367712
Feature_256,0.0009135993313975632,0.00026315473951399326
Feature_257,0.0009260978549718857,-0.0002056553348666057
Feature_258,0.0008184133912436664,-0.0005554977688007057
Feature_259,0.0007846732041798532,-0.0007987198187038302
Feature_260,0.0007482937653549016,-0.0009285020641982555
Feature_261,0.000700348406098783,-0.0008994615636765957
Feature_262,0.00048310853890143335,0.0010447491658851504
Feature_263,0.0005385004915297031,0.0010098246857523918
Feature_264,0.0006414181552827358,0.0009651995496824384
Feature_265,0.0007422897033393383,0.0007682567229494452
Feature_266,0.0009482945315539837,0.00044995947973802686
Feature_267,0.0009265909902751446,-0.00010711867071222514
Feature_268,0.0007643369026482105,-0.0005038572126068175
Feature_269,0.0008173593087121844,-0.0008770129643380642
Feature_270,0.0007638559909537435,-0.001023586024530232
Feature_271,0.0006407651235349476,-0.0009247190319001675
Feature_272,0.0004165804130025208,0.0009463056921958923
Feature_273,0.000493649102281779,0.0009997100569307804
Feature_274,0.000600090716034174,0.00098293402697891
Feature_275,0.0006475503323599696,0.0007412690902128816
Feature_276,0.0007651863852515817,0.0004451872082427144
Feature_277,0.0009831218048930168,-3.8963040424278006e-05
Feature_278,0.000788550591096282,-0.000491467711981386
Feature_279,0.0008357942570000887,-0.0009188041440211236
Feature_280,0.0007142363465391099,-0.0010374202392995358
Feature_281,0.0004537440836429596,0.0009224448585882783
Feature_282,0.00055024801986292,0.0008954020449891686
Feature_283,0.0005455575883388519,0.0006235424662008882
Feature_284,0.0007892810390330851,0.0004594752099364996
Feature_285,0.0009228455019183457,-3.8441503420472145e-05
Feature_286,0.0007040874916128814,-0.00046459154691547155
Feature_287,0.0006393783260136843,-0.0007580479141324759
Feature_288,0.0005445787683129311,-0.0008654702687636018
Feature_289,0.00041787917143665254,0.0008597387932240963
Feature_290,0.00048712221905589104,0.0007857854361645877
Feature_291,0.000531689845956862,0.0005693445564247668
Feature_292,0.0006589127006009221,0.00033102845191024244
Feature_293,0.0006509578670375049,-7.926298712845892e-05
Feature_294,0.0005661459290422499,-0.00042307685362175107
Feature_295,0.0005265177460387349,-0.0006695932825095952
Feature_296,0.000305495981592685,0.001123157562687993
Feature_297,0.00021412159549072385,0.001040877541527152
Feature_298,0.0005593660171143711,0.0008795458124950528
Feature_299,0.0004154748166911304,0.0009790932526811957
Feature_300,0.0003840403805952519,0.0011217418359592557
Feature_301,0.0006214871536940336,0.0002304332156199962
Feature_302,0.0006522376788780093,0.00038986149593256414
