Feature,Factor_0,Factor_1
Feature_0,-0.548524796962738,-0.221530020236969
Feature_1,-0.6371683478355408,-0.5343554615974426
Feature_2,-0.5394071936607361,-0.024216925725340843
Feature_3,-0.5575513243675232,-0.20484471321105957
Feature_4,-0.6502656936645508,-0.4045015871524811
Feature_5,-0.6371524930000305,-0.5021628141403198
Feature_6,-0.7859129905700684,-0.6740403175354004
Feature_7,-0.7660766243934631,-0.0458589531481266
Feature_8,-0.7693225741386414,0.03410988673567772
Feature_9,-0.7769671082496643,-0.1420791745185852
Feature_10,-0.7492544651031494,-0.14276234805583954
Feature_11,-0.9683363437652588,-0.16051755845546722
Feature_12,-0.7403903007507324,-0.38108110427856445
Feature_13,-0.8746238350868225,-0.3490634262561798
Feature_14,-0.6566476225852966,-0.6561136841773987
Feature_15,-0.8063670992851257,-0.5197959542274475
Feature_16,-0.59579998254776,-0.48923423886299133
Feature_17,-0.6206463575363159,-0.09850174933671951
Feature_18,-0.6087188124656677,-0.3058570623397827
Feature_19,-0.8157215118408203,0.06226499751210213
Feature_20,-0.8104905486106873,0.011537383310496807
Feature_21,-0.7223469614982605,-0.15265949070453644
Feature_22,-1.167702078819275,0.1336839348077774
Feature_23,-1.0662813186645508,-0.07770664244890213
Feature_24,-1.008182406425476,-0.3806246817111969
Feature_25,-0.8057024478912354,-0.7895275950431824
Feature_26,-0.831416666507721,-1.0226726531982422
Feature_27,-0.9363858103752136,-0.9603685736656189
Feature_28,-0.7345290184020996,-0.06512214988470078
Feature_29,-1.3321102857589722,0.14905159175395966
Feature_30,-0.6816779971122742,-1.1199129819869995
Feature_31,-0.6309866905212402,-1.1402353048324585
Feature_32,-0.8302688598632812,-1.2491414546966553
Feature_33,-0.8070842623710632,-1.374440312385559
Feature_34,-0.6393001675605774,-1.2706791162490845
Feature_35,-0.9211547374725342,0.015139219351112843
Feature_36,-1.1817295551300049,0.07047180086374283
Feature_37,-0.9401633739471436,-1.2349448204040527
Feature_38,-0.693324089050293,-1.3618539571762085
Feature_39,-0.8619551658630371,-1.471767544746399
Feature_40,-0.998938262462616,0.857172966003418
Feature_41,-0.9500892758369446,1.0514622926712036
Feature_42,-0.7748594284057617,-1.3976067304611206
Feature_43,-1.2647517919540405,0.031113430857658386
Feature_44,-1.1858810186386108,0.6091107726097107
Feature_45,-1.010738730430603,0.9788656830787659
Feature_46,-0.6468074917793274,-1.2580640316009521
Feature_47,-0.7911803126335144,-1.434686303138733
Feature_48,-1.1955658197402954,-0.09474865347146988
Feature_49,-1.0544979572296143,0.5141667723655701
Feature_50,-0.863736629486084,0.9131010174751282
Feature_51,-0.6485716700553894,-1.2189326286315918
Feature_52,-0.8502678871154785,-0.9297787547111511
Feature_53,-1.081541657447815,-0.6354432702064514
Feature_54,-1.0744562149047852,0.06157157942652702
Feature_55,-0.8957305550575256,0.03477771207690239
Feature_56,-0.9204356670379639,0.35288766026496887
Feature_57,-0.9928861260414124,0.36061355471611023
Feature_58,-0.9972259998321533,0.46981462836265564
Feature_59,-1.1426979303359985,0.2897592782974243
Feature_60,-1.340024471282959,-0.4337179660797119
Feature_61,-1.1749763488769531,1.4949755668640137
Feature_62,-1.0589810609817505,1.3708419799804688
Feature_63,-0.7853512763977051,-1.324063777923584
Feature_64,-1.0149344205856323,-1.3325196504592896
Feature_65,-1.1665774583816528,1.350497841835022
Feature_66,-1.0912102460861206,1.6150903701782227
Feature_67,-1.045558214187622,1.5488327741622925
Feature_68,-0.8133323192596436,-1.579962134361267
Feature_69,-0.8737742900848389,-1.3959436416625977
Feature_70,-1.0795063972473145,-1.3332244157791138
Feature_71,-1.2330158948898315,1.4429235458374023
Feature_72,-1.1208077669143677,1.687790036201477
