Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29,Factor_30,Factor_31,Factor_32,Factor_33,Factor_34,Factor_35,Factor_36,Factor_37,Factor_38,Factor_39,Factor_40,Factor_41,Factor_42,Factor_43,Factor_44,Factor_45,Factor_46,Factor_47,Factor_48,Factor_49
Feature_0,0.0006711268,0.0011445676,-0.0019282907,-1.9839721e-05,0.00353341,-0.0005563034,0.0012496705,0.0004114367,-0.0036952442,0.0026716595,-0.0046378463,-0.0027295875,2.9538094e-05,0.0013183828,0.0006770234,0.00080267066,-0.0015307631,0.0031146116,-0.0036175419,-0.0010610872,-0.002138284,0.003103566,-0.0006725604,-0.0024504499,0.00071915926,0.0012906493,-0.00092683575,0.0007454314,-0.0015664112,0.00506075,0.0024604355,0.0038558282,-0.0012554908,-0.00013849887,0.0044044233,-0.00057715154,-0.00058996625,0.0015227213,0.0011176382,0.0020531313,-0.004710681,-0.0024232806,0.00053834217,-0.00090196857,-0.0041078096,-0.002613641,-0.001922634,0.0029284193,0.0031779613,-0.0022349348
Feature_1,0.00077521324,0.00078020256,-0.0023684704,-4.9289705e-05,0.003322535,0.0002539917,0.001309652,0.0009726862,-0.0038081368,0.0031227127,-0.004454692,-0.0031200172,0.00021725793,0.0011918814,0.0013299179,4.426725e-05,-0.0010858019,0.0024864883,-0.0013987598,-0.0025975213,-0.0010160026,0.0027594545,-0.0010869843,-0.0025707541,-0.000549818,0.00013415057,-0.0017088831,-0.00024818332,-0.00075397757,0.002584865,0.0011763148,0.00088849955,-0.0006382333,0.00040249387,0.0017440501,-0.0022370003,0.0003467578,-0.00034824442,0.00073488656,0.0016897423,-0.004605754,-0.0007636903,-0.0007641693,-0.0008847936,-0.003187505,-0.0003861706,-0.0024509034,0.00026750017,0.00032143266,-0.0023724379
Feature_2,0.00085687474,0.00089661387,-0.0020186962,5.3551812e-05,0.0035454151,0.00052510964,0.0014703186,0.00060440286,-0.0040704394,0.0024590592,-0.0036462818,-0.0024754768,0.00019763548,0.0004391199,0.00036715704,0.0012556348,-0.00062121643,0.002681111,-0.002947323,-0.0020275393,-0.0005985612,0.002306711,-0.00034702645,-0.0019312836,-0.0015366564,0.0007519139,0.0001042061,-0.00036475505,-0.0014636493,0.0015451912,0.0013612199,0.001001083,-0.0010429427,0.0003342895,0.002127634,-0.0006786796,-9.234238e-05,0.0005123384,0.00058344495,0.0016160373,-0.003447108,-0.0020565721,-0.0006526103,-0.00095646334,-0.0039262213,0.0014355032,-0.00090595684,-0.00036567377,-0.000755023,-0.0027409522
Feature_3,0.0008749463,0.0011194936,-0.0015493646,2.5317335e-05,0.0035229893,0.0005231516,0.0015603566,0.0005686246,-0.0039721476,0.0018068749,-0.0023143487,-0.0012765484,-4.3283835e-05,-0.00034322194,-0.00063372805,0.0015439498,-0.00031665186,0.001999209,-0.003810223,-0.0020052854,8.252244e-05,0.0018166662,0.0006739152,-0.00040325065,-0.0017658613,0.000675166,0.0018959505,0.00055288326,-0.00040695939,0.001171766,0.0007703212,0.0033263862,-0.0022434022,0.0002872121,0.0009567772,-0.00012648912,-0.00012992941,6.955567e-05,0.00091765367,0.0016597034,-0.0004288796,-0.0011546379,0.00036342768,-0.00086832856,-0.0037741172,0.0018369626,0.00039850222,-0.0016242691,-0.00083991146,-0.00096744194
Feature_4,0.0010885303,0.0015648751,-0.0011576491,2.8721886e-05,0.003992431,0.00049783045,0.0014054535,0.00041132426,-0.0038824345,0.0009559202,-0.0011765622,1.2449807e-05,0.00031498473,-0.00084707816,-0.0022554458,0.0023290443,-0.00020415461,0.0011527016,-0.0038678988,-0.0020372614,0.0019556452,0.0026993977,0.0017694454,-0.00017546049,-0.0012236327,0.00090965204,0.0036461197,0.0012044861,-0.00058361754,0.002369043,-0.00049143296,0.006604976,-0.0017800314,0.0011161267,0.0010700817,6.545115e-05,-0.0010439378,0.00017346781,0.0016162825,0.0026963097,0.00059393945,-0.0007760357,0.00092152396,-0.0014711764,-0.002228962,0.002642585,0.0007649009,-0.0035087368,-0.0024590506,0.000457412
Feature_5,0.0009289829,0.00014244879,-0.0020031515,-0.00044617214,0.002528349,0.00062904466,0.0008072517,0.0019827231,-0.0015163921,0.0035908367,-0.0036376491,-0.0013975005,0.0006904219,0.0031412605,0.0025684838,7.111764e-05,-0.0011387388,0.0015779888,0.0031667224,-0.0036610367,0.0005608116,0.0012894402,-0.00395101,-0.0035862732,0.0035105653,-0.00037044595,-0.0033151729,0.00013404092,0.0020455178,0.0010582148,-0.0016425203,0.0019495827,0.0023911928,0.0011700969,-0.0011856954,-0.006125311,0.0002649737,0.00054859393,-0.00040122704,0.0042598313,-0.00023313957,-0.00048787508,0.0011790956,-0.0006815156,0.0018195122,-0.00031290794,-0.003207836,-0.00012483016,0.0011915813,0.0014236902
Feature_6,0.0007775782,0.00013668773,-0.0021757875,-0.00047484512,0.0024707823,0.00079770165,0.0007481631,0.0017243932,-0.0020705182,0.0033473778,-0.0036929208,-0.002346459,0.00048770872,0.0021400542,0.0020231034,-0.00011406419,-0.0007809157,0.0019315553,0.0016961127,-0.003229939,0.00026407855,0.0011403398,-0.0028509388,-0.002511697,0.0014948777,-0.0008938882,-0.0030781059,-0.0003400771,0.00086029817,0.0005564037,-0.00146587,0.00051032344,0.0015003287,0.0015638811,-0.00034469937,-0.0031181239,-3.7692276e-05,-0.00012797044,0.00075853284,0.004174923,-0.0019382233,-0.00043263612,0.00014553679,-0.00012483343,0.0004419913,-0.000120574354,-0.0036322013,-0.0019864968,0.00043731794,0.0013528416
Feature_7,0.0007598914,0.00033241417,-0.0023152058,-0.00018745009,0.0026828889,0.0009678565,0.00085493,0.0014581276,-0.0024884085,0.0030491252,-0.0030676958,-0.0026260915,0.0006861906,0.0017658648,0.0015086486,0.0003583896,-0.0005297901,0.0018260658,0.00066771626,-0.0032167514,-0.00022303226,0.0013187852,-0.001985522,-0.002325619,-1.0873821e-05,-0.00021187602,-0.0026137207,-0.0009734756,0.00022932129,0.0001716264,-0.00029653957,-0.0012399477,4.4989687e-05,0.0012285723,0.00016571744,-0.0018825096,-0.00015774307,-0.00040952867,0.00052998785,0.0025398687,-0.0017011061,-0.0012986653,-0.000567068,-0.00040742912,-0.0005332462,0.00029676507,-0.0034273777,-0.0004081438,-0.0010805847,0.0007642844
Feature_8,0.00076345465,0.00049499155,-0.0020511018,-0.00032562047,0.002726857,0.001007042,0.00096398726,0.00095710356,-0.0030446795,0.0026494067,-0.0021329597,-0.002444256,0.0005599048,0.0008967272,0.0008268479,0.000558938,-0.00017774967,0.0011536091,-0.0008633273,-0.0025017546,0.0003547185,0.0013062431,-0.00082959834,-0.0015952102,-0.0020906182,-0.0005587061,-0.0016965956,-0.0005345531,-0.0006017669,-0.00082424603,0.00046587476,-0.0013749085,-0.0007758913,0.0012751274,0.0003052109,-0.00055822404,-0.00013647297,-0.00030070503,-0.000115564,0.0015645903,-0.0018901882,-0.00063410966,-0.00088925514,-9.8451565e-05,-0.0019344778,0.0023681158,-0.0018608952,-5.200258e-05,-0.0015531189,0.00013979223
Feature_9,0.00088365766,0.00070358196,-0.0019433502,-0.00029788536,0.0030463517,0.0011894378,0.0011970334,0.00071685377,-0.0034286473,0.0021212916,-0.0015575964,-0.0014666755,0.0003107275,0.00020422191,0.0002674988,0.0014591904,0.00037218764,0.0005222118,-0.0016847885,-0.002650249,0.00043430147,0.0013488411,0.0003725456,-0.0014659787,-0.003530639,-0.00053396245,-0.00022121378,-0.0004814831,-0.00046839757,-0.0011479736,0.0005270877,-0.0009923246,-0.0018514018,0.00078539073,0.0005981235,6.406804e-05,0.00038410162,-0.0005512347,-0.00033998166,0.0002963708,-0.00037584192,-0.000538333,-0.00018783518,-0.00020035358,-0.002789047,0.0026427365,-0.000990953,-4.7575404e-06,-0.0031058951,-0.00057877065
