Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29,Factor_30,Factor_31,Factor_32,Factor_33,Factor_34,Factor_35,Factor_36,Factor_37,Factor_38,Factor_39,Factor_40,Factor_41,Factor_42,Factor_43,Factor_44,Factor_45,Factor_46,Factor_47,Factor_48,Factor_49
Feature_0,0.0005850284360349178,0.0010608689626678824,-0.0018071281956508756,6.444997416110709e-05,0.0032448451966047287,-0.0005693506682291627,0.0011279914760962129,0.00039882358396425843,-0.0034559776540845633,0.002487544436007738,-0.004410740453749895,-0.0025902288034558296,-2.527299693610985e-05,0.0010502211516723037,0.0006452775560319424,0.0005532525246962905,-0.0014934263890609145,0.0030200378969311714,-0.0036741970106959343,-0.0008679358288645744,-0.0018775865901261568,0.0029147155582904816,-0.0004893706645816565,-0.0026491740718483925,0.0011086881859228015,0.000861734093632549,-0.0007803961634635925,0.0005909526953473687,-0.0010589142329990864,0.004289187025278807,0.0029671562369912863,0.004048289731144905,-0.0011648492654785514,-6.074630800867453e-05,0.004214479587972164,-0.0004869051626883447,-0.0004975198535248637,0.0011960738338530064,0.0012684400426223874,0.002333316719159484,-0.003924889024347067,-0.0020295139402151108,0.00048813127796165645,-0.0012805145233869553,-0.005273706279695034,-0.0025307834148406982,-0.0011491271434351802,0.002028379589319229,0.0030193510465323925,-0.0028277612291276455
Feature_1,0.0007004223298281431,0.0006898739375174046,-0.0021918327547609806,-2.5343906600028276e-05,0.00315613835118711,0.0002517692046239972,0.001198916113935411,0.0009558754973113537,-0.0036158249713480473,0.0029233116656541824,-0.0041737547144293785,-0.00287199136801064,0.0002738407929427922,0.0011942556593567133,0.0012700608931481838,0.00028611472225748,-0.0011058554518967867,0.002573217498138547,-0.0018144282512366772,-0.0021526338532567024,-0.0010092401644214988,0.002700016601011157,-0.0009966024663299322,-0.0024282061494886875,-0.00037694949423894286,0.00013778067659586668,-0.0017108896281570196,-0.00030918786069378257,-0.0005029683816246688,0.002018216298893094,0.0010332418605685234,0.0008752270368859172,-0.00048691857955418527,0.0006038421997800469,0.0014700902393087745,-0.0018728207796812057,0.00033850467298179865,-0.00041427891119383276,0.0004967246786691248,0.0020230403169989586,-0.003759276121854782,-0.0005032552871853113,-0.000827666197437793,-0.001215292839333415,-0.003453455865383148,-0.00017141670105047524,-0.00264180195517838,0.0003761003608815372,9.932077955454588e-05,-0.0017672048415988684
Feature_2,0.0007705552270635962,0.0008870919700711966,-0.0019444291247054935,4.048271512147039e-05,0.0033907396718859673,0.0004591029428411275,0.0013077559415251017,0.0006739293457940221,-0.003868688829243183,0.0024907926563173532,-0.00334174744784832,-0.002333835931494832,0.00011150269710924476,0.00044808865641243756,0.0004011486889794469,0.0011809358838945627,-0.0006468914216384292,0.002434798516333103,-0.00317580159753561,-0.002027057344093919,-0.0009536159923300147,0.0023665660992264748,-0.0003259271034039557,-0.0014612223021686077,-0.0012389009352773428,0.0005052982014603913,0.00019452805281616747,6.405483873095363e-05,-0.0008311732672154903,0.0014480421086773276,0.0015418807743117213,0.001264225342310965,-0.0011313885916024446,0.00035082228714600205,0.0018990118987858295,-0.0005716771120205522,-6.825747550465167e-05,0.00016737304395064712,0.0007340868469327688,0.0016912734135985374,-0.0027702723164111376,-0.0013947375118732452,-0.0001849809050327167,-0.0009462321177124977,-0.003963593393564224,0.0010491490829735994,-0.0010793849360197783,-0.00024216558085754514,-0.0008201756863854825,-0.001655677449889481
Feature_3,0.000800231471657753,0.0010560920927673578,-0.0014987679896876216,1.0535286492086016e-05,0.003370598889887333,0.00043905311031267047,0.001376052270643413,0.00048812691238708794,-0.0037028854712843895,0.001829415326938033,-0.0020965717267245054,-0.0011786635732278228,2.45932096731849e-06,-0.00029181811260059476,-0.0007129061268642545,0.0017349084373563528,-0.00030591347604058683,0.0018345186254009604,-0.003712848061695695,-0.0018513370305299759,-1.2588061508722603e-06,0.002011035569012165,0.0005027638399042189,-0.0005399915389716625,-0.0016141688684001565,0.0008677559671923518,0.002068817848339677,0.00046145712258294225,-0.0005316314054653049,0.0012180417543277144,0.0009256174089387059,0.0031597581692039967,-0.0014916147338226438,0.00025062967324629426,0.0011031964095309377,-9.153208520729095e-05,-0.00046406645560637116,0.0002513947547413409,0.0006678768550045788,0.0015333767514675856,-0.0005245592910796404,-0.001540210796520114,0.0006635056925006211,-0.0008210791274905205,-0.004167488310486078,0.0019055631710216403,0.0002448252635076642,-0.0016079178312793374,-0.0013484065420925617,-0.0006953021511435509
Feature_4,0.0009770917240530252,0.0014463093830272555,-0.0011388021521270275,0.00016242018318735063,0.0037847801577299833,0.00037698043161071837,0.0014058256056159735,0.00039399086381308734,-0.0037684973794966936,0.000913177034817636,-0.0009947282960638404,-9.627622785046697e-05,0.00034296634839847684,-0.0006667221896350384,-0.002184490207582712,0.0021751129534095526,2.913608113885857e-05,0.00151550373993814,-0.00384430680423975,-0.0019658738747239113,0.0017696541035547853,0.0023068482987582684,0.002106169005855918,-8.539756527170539e-05,-0.0009524763445369899,0.0009357506642118096,0.003947122022509575,0.0009323540143668652,-0.0006239885115064681,0.0018617036985233426,-0.00032098463270813227,0.006519578862935305,-0.0010835217544808984,0.0014444459229707718,0.0008699242607690394,-0.00015237968182191253,-0.0008585663745179772,0.0005174459074623883,0.002229099627584219,0.003070987295359373,0.0007461081258952618,-0.001053792773745954,0.000585978152230382,-0.001052132691256702,-0.0019255639053881168,0.0026639981660991907,0.0008263500640168786,-0.0035757506266236305,-0.0016861999174579978,0.00022072205320000648
Feature_5,0.0008247215300798416,0.00013420057075563818,-0.0019635087810456753,-0.00038221784052439034,0.0023513142950832844,0.0006243464886210859,0.000734885863494128,0.0017777254106476903,-0.0015619943151250482,0.0032791965641081333,-0.0036212753038853407,-0.0014024702832102776,0.0005221623578108847,0.0029924327973276377,0.002550667617470026,-0.00013215751096140593,-0.0013041244819760323,0.001540091005153954,0.0030495827086269855,-0.0034472914412617683,0.0005705991061404347,0.0014745250809937716,-0.004502805881202221,-0.003183422377333045,0.003001692472025752,-0.0003369904588907957,-0.0037475319113582373,0.00046399267739616334,0.0025242578703910112,0.0011516180820763111,-0.0018191609997302294,0.0017563345609232783,0.0023874801117926836,0.0016203420236706734,-0.0007092268788255751,-0.0063140736892819405,0.0002193214459111914,0.000626380555331707,-0.0003114885475952178,0.004032043274492025,-0.0005228394875302911,-3.025238765985705e-05,0.0011234211269766092,-0.00031276585650630295,0.001567992614582181,-0.0004883286310359836,-0.0029678125865757465,4.876177990809083e-05,0.0010224354919046164,0.0013126020785421133
Feature_6,0.0006789785693399608,0.0001539203803986311,-0.0020723375491797924,-0.00027984476764686406,0.0024457513354718685,0.0007882540812715888,0.000687054474838078,0.0016382134053856134,-0.002038427861407399,0.002938855206593871,-0.0034869646187871695,-0.002319399733096361,0.00053410668624565,0.001984896371141076,0.0020365905947983265,-5.193363904254511e-05,-0.0009250070434063673,0.0016656972002238035,0.0018104480113834143,-0.002989937551319599,7.243710570037365e-05,0.001615398097783327,-0.0030897087417542934,-0.00211561331525445,0.0015711227897554636,-0.0005106100579723716,-0.0032022525556385517,-0.0005144273163750768,0.0012189112603664398,0.000922790146432817,-0.0010964187094941735,0.000511772814206779,0.0011852036695927382,0.001568380743265152,-7.974347681738436e-06,-0.003198799677193165,3.5544806451071054e-05,-0.00013616494834423065,0.0008952168864198029,0.004024069290608168,-0.0012635978637263179,-0.0006787850288674235,4.3276872020214796e-05,-0.00011750902194762602,0.0006372191710397601,8.503159187966958e-05,-0.00399688258767128,-0.001823424594476819,0.0002705712686292827,0.0017148550832644105
Feature_7,0.0006814030930399895,0.0003316726360935718,-0.0020994916558265686,-0.0001507317356299609,0.002647619228810072,0.0008721605991013348,0.0007612163899466395,0.001519576646387577,-0.002489543054252863,0.0028462617192417383,-0.00301445578224957,-0.002396094612777233,0.0006420089630410075,0.0013957027113065124,0.0015208731638267636,0.00039910824852995574,-0.0005598938441835344,0.001815713825635612,0.0002955450036097318,-0.002564607886597514,0.0001264836173504591,0.0016074648592621088,-0.0020885977428406477,-0.0021774640772491693,-0.0001260319841094315,-0.0003580869815777987,-0.0024271958973258734,-0.0009235299075953662,0.0003934715932700783,4.366689609014429e-05,-0.00026254504336975515,-0.0009949550731107593,3.141514025628567e-05,0.0010923538357019424,0.00031779002165421844,-0.0018403508001938462,-0.0004912258009426296,-0.0007926782127469778,0.000819761713501066,0.0022801414597779512,-0.0018590661929920316,-0.000941532023716718,-0.0007508331327699125,-0.00023844410316087306,-0.00023523051640950143,0.0005258289165794849,-0.003659521695226431,-0.000616031582467258,-0.0012391948839649558,0.0010112704476341605
Feature_8,0.000690310203935951,0.000458866183180362,-0.0018975804559886456,-0.0002458232920616865,0.0027247020043432713,0.0010052294237539172,0.000961214944254607,0.001044326345436275,-0.0028262396808713675,0.0024386949371546507,-0.002051273128017783,-0.0021652441937476397,0.0004194210923742503,0.000790432037319988,0.0007222046842798591,0.0006788874161429703,-7.018266478553414e-05,0.0012520278105512261,-0.0009105344652198255,-0.0021681489888578653,-6.70284716761671e-05,0.0013537302147597075,-0.0006055546109564602,-0.0015322816325351596,-0.00203214050270617,-0.00038231670623645186,-0.001570929423905909,-0.0005118211265653372,-0.0003591712738852948,-0.0006832231301814318,0.0002952168579213321,-0.0014638860011473298,-0.0006545462529174984,0.0008071271586231887,0.0007448794203810394,-0.0006006309995427728,-0.0001066967670340091,-0.001172259682789445,0.000151821892359294,0.0012123343767598271,-0.0019094657618552446,-0.000524355040397495,-0.0005537073593586683,-0.00018322774849366397,-0.0015804782742634416,0.0016788301290944219,-0.00206579128280282,-0.0001887358957901597,-0.0014660799643024802,-0.00010553094034548849
Feature_9,0.000806975644081831,0.0006869336939416826,-0.0018052480882033706,-0.00021609831310342997,0.002945360727608204,0.0011994970263913274,0.0011840085498988628,0.0007682498544454575,-0.0032428584527224302,0.002188323996961117,-0.0013726749457418919,-0.0014016759814694524,0.0003224878164473921,0.00013374394620768726,0.00015190904377959669,0.0013927508844062686,0.0003443380701355636,0.0006835218518972397,-0.0020920138340443373,-0.0022287960164248943,0.00036062393337488174,0.001564410631544888,0.00017127730825450271,-0.0013496710453182459,-0.0031105992384254932,-0.0005937896203249693,0.0001970382290892303,-0.00029907783027738333,-0.0005249837413430214,-0.0011750388657674193,0.0003356260422151536,-0.0010574288899078965,-0.0016033396823331714,0.000483036448713392,0.0007562711834907532,-0.00015929510118439794,0.00027578012668527663,-0.00044848525431007147,-0.0002197097201133147,0.0004219399415887892,-0.0003360745031386614,-0.0003532503033056855,-0.0004606481234077364,-0.00027636668528430164,-0.0021603568457067013,0.0021069636568427086,-0.0008136171381920576,-0.0001815322320908308,-0.0027239189948886633,-0.0006923719774931669
