Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29,Factor_30,Factor_31,Factor_32,Factor_33,Factor_34,Factor_35,Factor_36,Factor_37,Factor_38,Factor_39,Factor_40,Factor_41,Factor_42,Factor_43,Factor_44,Factor_45,Factor_46,Factor_47,Factor_48,Factor_49
rigidity_left,3.408361953916028e-05,-0.0004988216096535325,-0.0002935492084361613,-9.875100658973679e-06,0.0019244604045525193,-0.0009197131730616093,-0.0003717116778716445,-0.0003453253011684865,0.0006034494726918638,-0.000470439757918939,0.0011430804152041674,-0.001425805501639843,0.0007605088758282363,-0.0005688548553735018,0.0017304479843005538,-0.00112697365693748,-0.0012986933579668403,-0.005240695085376501,-0.0034160290379077196,0.0008864970877766609,0.0013246005401015282,-0.002722213976085186,-0.0009859901620075107,-0.0028679841198027134,-0.0009598426404409111,0.004067658446729183,-0.00028678891249001026,0.0022584381513297558,0.000764319789595902,-0.003348181489855051,0.00038571126060560346,-0.007959661073982716,0.0033716941252350807,0.0021685853134840727,-0.0029278674628585577,0.0008164120954461396,0.0024126500356942415,0.0060207899659872055,0.005592959932982922,-0.0017827264964580536,0.004491654224693775,0.0017117357347160578,-0.005963923409581184,0.002558900974690914,0.0034053113777190447,0.0005162844900041819,-0.001469126669690013,-0.005795006640255451,0.005836001131683588,-0.004490229766815901
rigidity_right,-0.00011409173748688772,-0.00010062835644930601,-0.0008463302510790527,0.0006802490679547191,-0.0005559527198784053,-0.0008538871188648045,-0.0012115654535591602,0.0010418638121336699,0.00010818232840392739,0.00012223889643792063,4.887147224508226e-05,0.0005233177216723561,0.0018682675436139107,-0.0015237360494211316,2.6593805159791373e-05,0.0024721024092286825,0.0015788826858624816,0.0029411795549094677,0.0037930808030068874,-0.0010839159367606044,-0.0007691060891374946,0.0007924194214865565,-0.0002012380282394588,0.0004784169141203165,-0.003971165977418423,-0.0006257284549064934,0.0012628386029973626,0.0016242217971011996,0.0025450545363128185,-0.0015117297880351543,0.0008067655726335943,-0.0011173058301210403,-0.003742213360965252,0.0063082026317715645,-0.0034060778561979532,-0.0007717942353338003,-0.005351567640900612,0.0028195956256240606,-0.005051952321082354,-0.002069371286779642,0.010007147677242756,0.0008096575038507581,0.00010089832358062267,0.0039002709090709686,-0.003767704125493765,-0.0023965113796293736,0.0038871413562446833,0.002575147897005081,0.005443141795694828,-0.005339228082448244
tremor_rest_left,0.0002131083165295422,5.425849667517468e-05,-0.00010123389074578881,-0.0012209026608616114,0.001080812537111342,-0.0013640249380841851,0.0008543282165192068,-0.0008535891538485885,-0.0002141898439731449,-0.0009358255192637444,0.00020698009757325053,-0.0017943484708666801,0.0014300139155238867,-0.00023501890245825052,0.0014396141050383449,-0.00019218841043766588,0.0010171616449952126,-0.001013991073705256,-7.124901458155364e-05,-0.0039008203893899918,0.0020343190990388393,0.0033600246533751488,-0.0013428301317617297,1.6025118384277448e-05,-0.0006465990445576608,-0.006830242928117514,0.0005170266958884895,0.004978314973413944,0.006029605865478516,0.0021139965392649174,-0.0012475554831326008,-0.009299135766923428,-0.00020414174650795758,-0.00839609932154417,-0.000998354866169393,-0.0032506126444786787,-0.00864883977919817,0.00230353232473135,0.0020589011255651712,-0.000887550413608551,-0.0012429488124325871,-0.0026461260858923197,-0.0006616457831114531,0.0007439035107381642,-0.00160808430518955,0.005775280296802521,0.0014429683797061443,-0.004035520367324352,0.0005761727807112038,0.003053674940019846
tremor_rest_right,0.0003611725405789912,-2.7373971533961594e-05,-0.0003955771098844707,-0.00014711287803947926,-0.00022702926071360707,-0.0006454939139075577,-5.077934474684298e-06,0.00044971637544222176,-0.0012492770329117775,-0.0011539880651980639,-0.000962273683398962,-0.0008390970178879797,0.0010982576059177518,-0.0009037335985340178,0.0010231966152787209,0.0007365859928540885,0.0021809679456055164,0.001697940519079566,0.003004920668900013,-0.003557138377800584,0.0005058175302110612,0.0037075323052704334,-0.00019784671894740313,0.0008067639428190887,-0.002041351981461048,-0.0051137725822627544,0.0017858643550425768,0.002767902100458741,0.005177946761250496,0.00045514345401898026,0.0017368874978274107,-0.0043755099177360535,-0.001573628862388432,-0.00695001520216465,-0.0021987075451761484,-0.007470764685422182,-0.010765427723526955,-0.0014726395020261407,-0.001799056539312005,-0.0013774808030575514,0.0008983992738649249,-0.0028857539873570204,0.0008835372282192111,0.0008189759682863951,0.0007721572765149176,0.004858170170336962,0.0007039674092084169,-0.0024459699634462595,-0.0006253618048503995,0.001816659001633525
tremor_postural_left,-9.743974078446627e-05,-0.00011551124043762684,-0.0001930000289576128,-0.0016416122671216726,0.0009867198532447219,-7.550641021225601e-05,0.0010579482186585665,-0.0013646301813423634,5.7237051805714145e-05,-0.00043442685273475945,0.0011594792595133185,-0.0021686318796128035,-1.860653719631955e-05,0.00026701600290834904,6.11589421168901e-05,-0.0004643174761440605,-0.0005080555565655231,-0.0010281283175572753,-0.003596390364691615,-0.002135741524398327,0.0026377777103334665,0.003009716048836708,-0.003674558363854885,-0.004186447709798813,0.00143101392313838,-0.00426435936242342,0.00048719815094955266,0.004574064165353775,-0.0035759236197918653,-0.0011573326773941517,-0.0031325719319283962,-0.006472754757851362,0.003691023914143443,-0.006113284267485142,0.0008521836716681719,-0.0035389517433941364,-0.009132853709161282,0.0021884399466216564,0.0023239583242684603,-0.0043800147250294685,-0.0022641485556960106,-0.005161737557500601,0.003490384668111801,0.0034521042834967375,-0.003375967964529991,-0.0003355877415742725,0.004995656665414572,-0.005599126685410738,-0.005763190798461437,-0.008173707872629166
tremor_postural_right,9.8571261332836e-05,0.0006728852749802172,-0.00010589938028715551,0.0004406985535752028,-0.0022729437332600355,-0.00014379396452568471,0.00027058448176831007,0.00021688206470571458,-0.0010665988083928823,-0.0009196659084409475,-0.0005394621402956545,-0.0004081326478626579,-0.0009399706032127142,-0.00067824189318344,0.0004353244148660451,0.0003539472527336329,0.0013553568860515952,0.004011321347206831,0.00559242581948638,5.729267650167458e-05,-0.002472590422257781,0.0028654097113758326,0.0024342990946024656,0.0024912231601774693,-0.0013309211935847998,-0.0017763457726687193,0.003765480127185583,0.00202679680660367,0.00034512445563450456,0.0022944598458707333,0.002031914424151182,-0.006542484741657972,-0.001975979655981064,0.0014000826049596071,-0.0071418448351323605,-0.005448800977319479,-0.006498246919363737,0.0018814862705767155,-0.004855475388467312,-0.003657385939732194,-0.0004385197826195508,-0.003553275018930435,0.004234846215695143,-0.0031653076875954866,0.0002970008354168385,-0.006811267230659723,0.003489722730591893,0.0026533175259828568,-0.007661168929189444,-0.00021351693430915475
bradykinesia_speed_left,8.863909170031548e-05,-2.4860346456989646e-06,0.0005777330952696502,0.00012614026491064578,0.0018030907958745956,-0.0004328617360442877,5.810907168779522e-07,-0.0004141369427088648,0.0006029695505276322,3.3645148505456746e-05,0.0013206618605181575,-0.0005826709093526006,-0.0013338333228603005,-0.0007695108652114868,0.0029637611005455256,-0.0010951929725706577,0.0002566803595982492,-0.002931602532044053,-0.0031823371537029743,-0.0010023589711636305,0.003265878651291132,-0.0007795696146786213,0.0003445274196565151,-0.0014760285848751664,-8.410302689298987e-05,0.00021346239373087883,-0.0007864301442168653,0.003839417127892375,0.0004392429837025702,-0.0006323062116280198,-0.00038211402716115117,-0.0015581310726702213,0.0033557882998138666,0.0033550066873431206,-0.0020043947733938694,-0.0019832272082567215,-0.00037514837458729744,0.0036808368749916553,0.0037047304213047028,-0.00377077329903841,0.00027047054027207196,-0.003997775726020336,-0.0016383449546992779,0.004439979791641235,0.00023672076349612325,0.0027478046249598265,-0.003448088653385639,-0.00024513236712664366,-0.001952632563188672,0.0005014414782635868
bradykinesia_speed_right,7.376891880994663e-05,-2.8948999897693284e-05,-0.0005618972354568541,0.0007898877956904471,-0.0012842966243624687,0.0005716655869036913,0.00010720781574491411,0.0006917018326930702,-0.0005644546472467482,-0.0003185872337780893,-0.0009317684452980757,0.001139660133048892,0.0007869908004067838,-0.0014682428445667028,-0.0015879464335739613,0.001764468615874648,-0.00010524739627726376,0.0007287835469469428,0.0025052132550626993,-0.0016478510806337,-0.0024478703271597624,0.0014045215211808681,0.0004916597972624004,0.0019848754163831472,-0.0029795332811772823,0.001827959786169231,0.001308807753957808,-0.002099961042404175,-4.9165540985995904e-05,0.0010551756713539362,0.0039204806089401245,-0.0002526941825635731,-0.0025957911275327206,0.003886559046804905,-0.0043609170243144035,-0.002803722396492958,-0.004011165350675583,-0.0025278409011662006,-0.00213725958019495,-0.0035800787154585123,0.0031716825906187296,0.0003407960757613182,0.00044583447743207216,0.005025549326092005,0.00011382392403902486,0.00788476224988699,-0.005604085978120565,0.004768098704516888,0.003393197199329734,-0.005006141494959593
bradykinesia_amplitude_left,0.0002515195228625089,-0.0001512544258730486,0.00038407990359701216,0.0001859986805357039,0.001699887216091156,-2.9222466764622368e-05,-0.000522070680744946,-0.0003122052876278758,0.0008247892837971449,0.00017210682563018054,0.001656792825087905,-0.00032527445000596344,-0.0008167190826497972,-0.0003035420668311417,0.0021988023072481155,-0.001355968415737152,-0.0005009060841985047,-0.0036415625363588333,-0.003509864676743746,-0.00031488435342907906,0.003646580036729574,-0.0012324097333475947,5.775829413323663e-05,-0.0017109118634834886,0.0010581696406006813,0.00017135310918092728,0.00021589454263448715,0.0027152367401868105,0.00040215151966549456,-6.674672476947308e-05,-0.0009858247358351946,-0.003393973223865032,0.003239784389734268,0.004692323040217161,-0.0029563854914158583,-0.003956239204853773,-7.435221050400287e-06,0.003932024352252483,0.006777010392397642,-0.004568647593259811,-0.000544094480574131,-0.007320103235542774,-0.001384770032018423,0.005544931162148714,0.001844308222644031,0.00158965727314353,-0.0009672329179011285,-0.0019870800897479057,-0.0014647948555648327,0.002275400096550584
bradykinesia_amplitude_right,-0.00011457254004199058,2.7351830794941634e-05,-0.000718776136636734,0.0009268778376281261,-0.0012213541194796562,0.0008121252758428454,-3.02411790471524e-05,0.0004888129769824445,-0.0007864150684326887,0.00015424232697114348,-0.0007677717367187142,0.0015202980721369386,0.0017385628307238221,-0.0005755695165134966,-0.0017539061373099685,0.001757618971168995,-0.0005907355225645006,0.0005859099328517914,0.003084378782659769,-0.0018298325594514608,-0.0009564392385073006,0.001801487524062395,0.002279542153701186,0.0022190173622220755,-0.0014670745003968477,0.002181075280532241,0.00101317442022264,-0.0011108601465821266,-0.00028548299451358616,0.0006735748611390591,0.0014671144308522344,-0.0009977803565561771,0.0003171594289597124,0.0028022718615829945,-0.003717693965882063,-0.0033562234602868557,-0.0023808341939002275,0.000819454318843782,-0.0015845985617488623,-0.005898830480873585,0.002147021936252713,0.0003158295585308224,-0.000421512289904058,0.006050617899745703,0.0002804755058605224,0.005881349556148052,-0.0033912446815520525,0.0028892681002616882,0.004133154638111591,-0.002889437833800912
