factor_index,max_loading,mean_loading,median_loading,std_loading,nonzero_count,nonzero_pct,is_effective
0,0.002,0.0013,0.0013,0.0003,0,0.0,False
1,0.0025,0.0011,0.0011,0.0007,0,0.0,False
2,0.0034,0.0011,0.0009,0.0008,0,0.0,False
3,0.0039,0.0011,0.0009,0.0008,0,0.0,False
4,0.0052,0.001,0.0008,0.0009,0,0.0,False
5,0.0038,0.0011,0.001,0.0008,0,0.0,False
6,0.0048,0.0011,0.0009,0.0008,0,0.0,False
7,0.0056,0.001,0.0008,0.0008,0,0.0,False
8,0.005,0.001,0.0009,0.0008,0,0.0,False
9,0.0042,0.0011,0.0009,0.0008,0,0.0,False
10,0.0046,0.001,0.0008,0.0009,0,0.0,False
11,0.0039,0.0011,0.0009,0.0008,0,0.0,False
12,0.005,0.0011,0.0009,0.0009,0,0.0,False
13,0.0041,0.001,0.0009,0.0008,0,0.0,False
14,0.005,0.0011,0.0009,0.0009,0,0.0,False
15,0.0049,0.0011,0.0009,0.0008,0,0.0,False
16,0.0042,0.001,0.0008,0.0008,0,0.0,False
17,0.0113,0.001,0.0007,0.0009,1,0.0008,False
18,0.0107,0.0009,0.0006,0.001,1,0.0008,False
19,0.006,0.001,0.0009,0.0008,0,0.0,False
20,0.0061,0.001,0.0008,0.0009,0,0.0,False
21,0.0214,0.0009,0.0007,0.0009,1,0.0008,False
22,0.0115,0.001,0.0007,0.0009,1,0.0008,False
23,0.011,0.001,0.0008,0.0009,1,0.0008,False
24,0.0086,0.001,0.0008,0.0009,0,0.0,False
25,0.008,0.001,0.0008,0.0009,0,0.0,False
26,0.0049,0.001,0.0008,0.0008,0,0.0,False
27,0.0119,0.001,0.0008,0.0009,1,0.0008,False
28,0.0077,0.001,0.0008,0.0009,0,0.0,False
29,0.0092,0.001,0.0008,0.0009,0,0.0,False
30,0.0086,0.001,0.0008,0.0009,0,0.0,False
31,0.0097,0.001,0.0007,0.001,0,0.0,False
32,0.0135,0.001,0.0008,0.0009,2,0.0016,False
33,0.0127,0.001,0.0007,0.001,2,0.0016,False
34,0.0083,0.001,0.0008,0.0009,0,0.0,False
35,0.0084,0.001,0.0007,0.0009,0,0.0,False
36,0.0125,0.0009,0.0007,0.0009,1,0.0008,False
37,0.0065,0.001,0.0007,0.0009,0,0.0,False
38,0.0107,0.001,0.0007,0.001,1,0.0008,False
39,0.0096,0.001,0.0007,0.0009,0,0.0,False
40,0.0124,0.001,0.0007,0.0009,1,0.0008,False
41,0.0093,0.001,0.0008,0.0009,0,0.0,False
42,0.0124,0.0009,0.0007,0.001,1,0.0008,False
43,0.0077,0.001,0.0008,0.0009,0,0.0,False
44,0.0065,0.001,0.0008,0.0009,0,0.0,False
45,0.014,0.001,0.0007,0.001,2,0.0016,False
46,0.0064,0.001,0.0008,0.0009,0,0.0,False
47,0.0107,0.001,0.0007,0.001,1,0.0008,False
48,0.011,0.001,0.0007,0.0009,1,0.0008,False
49,0.008,0.001,0.0008,0.0009,0,0.0,False
