Factor_Index,Matches,Match_Rate_%,Status,Mean_Similarity
0,4,100.0,Robust,0.9996464550495148
1,4,100.0,Robust,0.9982589334249496
2,4,100.0,Robust,0.997807189822197
3,4,100.0,Robust,0.9971643537282944
4,4,100.0,Robust,0.996574267745018
5,4,100.0,Robust,0.9959841966629028
6,4,100.0,Robust,0.9957835823297501
7,4,100.0,Robust,0.9948666095733643
8,4,100.0,Robust,0.9940606653690338
9,4,100.0,Robust,0.9926352500915527
10,4,100.0,Robust,0.9921040683984756
11,4,100.0,Robust,0.9903027415275574
12,4,100.0,Robust,0.9897486716508865
13,4,100.0,Robust,0.9879315197467804
14,4,100.0,Robust,0.9852410107851028
15,4,100.0,Robust,0.9841607809066772
16,4,100.0,Robust,0.9829985648393631
17,4,100.0,Robust,0.980303555727005
18,4,100.0,Robust,0.9783648252487183
19,4,100.0,Robust,0.9757125824689865
20,4,100.0,Robust,0.9739686846733093
21,4,100.0,Robust,0.9676627218723297
22,4,100.0,Robust,0.9677504152059555
23,4,100.0,Robust,0.9695853441953659
24,4,100.0,Robust,0.971390500664711
25,4,100.0,Robust,0.9673974066972733
26,4,100.0,Robust,0.9671410918235779
27,4,100.0,Robust,0.9604568332433701
28,4,100.0,Robust,0.9650575816631317
29,4,100.0,Robust,0.9631215482950211
30,4,100.0,Robust,0.9589084833860397
31,4,100.0,Robust,0.957134559750557
32,4,100.0,Robust,0.9501008540391922
33,4,100.0,Robust,0.9442807286977768
34,4,100.0,Robust,0.9459354430437088
35,4,100.0,Robust,0.9466645270586014
36,4,100.0,Robust,0.9348905831575394
37,4,100.0,Robust,0.9478590339422226
38,4,100.0,Robust,0.9354325830936432
39,4,100.0,Robust,0.9415330588817596
40,4,100.0,Robust,0.931588888168335
41,4,100.0,Robust,0.9385264813899994
42,4,100.0,Robust,0.9305902272462845
43,4,100.0,Robust,0.9290983825922012
44,4,100.0,Robust,0.9253520518541336
45,4,100.0,Robust,0.9213567525148392
46,4,100.0,Robust,0.9330404996871948
47,4,100.0,Robust,0.9268704056739807
48,4,100.0,Robust,0.9244651198387146
49,4,100.0,Robust,0.9228914380073547
