Subject,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
Subject_0,-1.0165488,-0.7198482,-0.6839184,0.8653802,0.15005381,1.1007694,0.5334868,-0.80166805,-1.0879433,0.86206734,-1.0069484,0.6746508,-0.6703283,0.9492749,-1.0557581,0.5678996,1.0341074,-0.69207174,0.45523494,1.1958597
Subject_1,1.0408647,0.6805283,0.035080053,-0.5476175,1.0516937,-0.8985521,0.08245705,0.9657925,-0.46786615,0.17154501,-1.7436367,-1.1754439,-1.2281992,0.06833211,-0.6891956,-0.9367533,-0.88299537,1.3137511,-1.033066,-1.5581912
Subject_2,0.9407157,0.037905797,-0.62363106,0.27650392,-0.2090458,0.5181735,-0.049747832,-0.7974266,-0.64409584,0.8234683,-0.5433048,0.7248491,0.56749517,-0.13522658,0.456901,0.52988625,1.0351144,1.0017257,0.80527735,0.88427293
Subject_3,0.79616636,0.5885833,1.1325953,0.34152293,-0.8830351,1.0964732,0.11699019,-0.60318244,-0.3437472,0.59689426,0.19324717,-0.7883198,1.2419393,1.077456,0.7488997,-0.19346498,-0.3674498,-0.50735223,-0.52540743,0.46855834
Subject_4,-1.1574562,0.119084686,-1.0523429,-0.67652184,-0.30782533,0.54296046,-0.55456656,0.6048382,1.964898,0.032118775,0.21409291,1.1853976,1.0974724,-0.28484347,-0.49392167,-1.1837785,0.013004755,1.4480731,0.7838571,-0.50312185
Subject_5,-0.8780515,-0.6975061,0.58937067,-0.37987188,-0.023645785,-0.6662814,-0.4061054,-1.0018342,-0.42074257,-1.297038,-1.8114473,0.89978355,-1.167904,-0.74687684,-1.0815308,0.60791236,-0.80134237,-0.32796302,-0.71246904,-0.32317087
Subject_6,1.4248242,0.097711585,0.8326692,-1.498397,-1.0821586,-0.7521769,-1.6431332,-0.076595284,0.39278606,-0.049264006,-0.84345603,0.7723389,-0.7978179,0.18625294,-0.06448531,0.85319537,-1.4208851,1.2693505,-0.7722017,-0.8303945
Subject_7,-1.2368618,1.1212695,0.20206581,0.50390023,0.7177998,-0.9210045,-0.29601339,0.55172634,0.5178533,1.0818655,-0.13272758,-0.6250548,-0.7135773,-0.61758584,-0.57389617,0.9679156,-0.5254934,0.7214276,-0.37229845,0.9874526
Subject_8,-0.9464291,-0.14170575,-0.6926022,-0.7444118,0.19346403,0.86918074,-0.4984158,-0.3230126,-0.06937355,-0.6111051,0.78779894,-1.5689123,-0.74079335,1.2599872,1.1281124,-0.995066,-1.149728,-0.5826115,0.75772476,-1.1163688
Subject_9,-0.1565062,-0.39625835,-0.3290076,-1.5483851,-0.8663906,0.6441343,-0.83879626,0.87328583,1.3002058,0.660274,0.034980822,-0.5348825,1.0885377,-0.30171922,-0.8964853,0.7875111,-0.849806,0.6060619,0.3841022,0.943524
