Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
Feature_0,-0.3058234,1.2625782,0.017227609,0.6845778,0.72563833,-1.201409,0.30370787,0.27339277,-1.0674273,-0.39006034,-0.3932949,-1.2368314,-0.18383865,1.0599172,-1.2144959,-0.07966761,1.4442319,-1.1305149,0.5815681,0.75234485
Feature_1,0.6972904,1.5520484,-0.43584138,0.27191088,0.68526113,0.40069857,1.6573136,0.55807626,-1.5687144,0.006656021,0.9982992,-0.8553366,-0.6370225,-0.15561764,-0.80354106,-0.15688537,0.9498145,-0.5900785,0.38486868,-1.5040195
Feature_2,-1.4695666,-0.24749775,0.7414198,0.34325996,0.15305634,-0.27959183,-1.3120048,0.5007933,-1.0360912,-0.15871187,0.050664682,0.007657026,0.5917712,1.1157396,-0.44906527,0.5367829,1.7437533,-0.2496618,0.46064872,-0.62129647
Feature_3,-0.43728447,0.51433665,-0.37702242,-0.18127155,0.47948417,-0.4974265,-0.3964859,0.62216794,-1.9081831,-0.65143096,-0.54347706,0.27990294,-0.34373748,0.925954,-0.07421997,0.40723214,1.6423724,0.16458625,0.3425059,-0.18103512
Feature_4,0.38699564,0.95561504,-0.4846656,0.21309455,0.21102287,0.5542203,0.057892736,-0.14309621,-1.1262618,-0.35337898,0.11521158,-0.40344813,-0.37866968,1.0876396,0.72203624,-0.40895814,1.4979964,-0.33723518,0.35034525,-0.6627384
Feature_5,0.736662,1.3771805,-1.4734815,-0.66580445,0.15723014,0.91198325,1.3419363,-0.3212416,-0.5345753,0.47968543,1.0818753,-0.500525,-0.18023548,0.4622282,-0.32807523,-0.37941307,1.2723606,0.2160959,0.47055635,-1.403259
Feature_6,1.2397352,0.9863017,-1.1601645,-1.661341,0.81862146,1.0512097,1.3608255,-0.72617596,1.265416,1.0059491,0.97876287,-0.5225994,-0.22145341,-0.7187878,-0.23857753,-1.4330943,1.147413,0.36883202,-0.0032379585,-1.1207525
Feature_7,-0.175374,0.57243156,2.038219,-0.44601923,0.16357301,1.3559703,-1.6967719,-0.50943524,-0.7914967,-0.37479565,-0.41520742,0.6597287,0.16190895,0.83348465,-0.33218667,-1.3748943,0.719137,0.4632511,0.062130265,1.0627595
Feature_8,-0.67013663,-0.1350061,1.3560959,0.10405049,-0.2626811,1.2890743,-1.3243363,-0.2815281,-0.9701707,-0.12947562,-0.39833528,0.49289793,1.0221492,0.8814892,-0.3496683,-1.0562598,1.5422271,0.11241785,-0.3681457,1.5181876
Feature_9,-0.27055594,0.2952107,0.42759365,-0.7599954,0.4864213,1.3245678,-1.4932843,0.82240176,0.34064004,0.55739945,0.71480066,-0.61785084,-0.1020373,-0.70719665,-0.43212157,-0.79894054,1.0188328,1.0583181,0.0049590645,0.6718239
