Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29,Factor_30,Factor_31,Factor_32,Factor_33,Factor_34,Factor_35,Factor_36,Factor_37,Factor_38,Factor_39,Factor_40,Factor_41,Factor_42,Factor_43,Factor_44,Factor_45,Factor_46,Factor_47,Factor_48,Factor_49
rigidity_left,0.12152308,-0.2433951,-0.059072863,-0.1254773,-0.1827535,-0.20003264,0.43735877,-0.71556437,-0.72197026,-0.33260456,1.994453,-0.68021786,0.021685643,0.19321305,0.044637065,-0.86854196,-0.006544138,-1.6099488,0.24479789,-0.28334314,-0.57376707,-0.53850585,0.7541761,-0.15709546,0.25111192,0.32696614,0.30160904,-0.63498527,-0.1294861,-1.4729598,-0.33765393,-0.06151714,-1.0601819,0.31635562,-0.27699375,0.6503418,0.6418169,-1.0798638,0.6937684,0.7814871,0.061480712,-0.16115527,0.18011604,0.9980161,-0.3828105,-0.08061895,0.16261503,-0.010274168,-0.062286388,0.41406962
rigidity_right,-0.35703555,0.069344126,0.13229549,-0.102444455,-1.0437216,0.031079091,-0.44230607,-0.1694467,0.39788887,0.73999,0.30919823,0.37956563,0.22577807,0.093854606,-0.13549867,0.0137696415,1.011763,-0.16700755,-0.4807627,-0.046195403,-0.956872,0.83700407,0.6779705,-0.19896,0.26417145,0.86610764,-1.8029078,-0.58615756,-0.08686021,0.061740093,0.6279148,-0.51619405,0.26108497,0.53840286,0.47708276,0.891754,-0.23271295,1.6301996,1.1959624,-0.5854588,-0.9758024,0.34726506,1.0852094,0.2205266,-0.028073203,0.8996123,-1.3959022,0.1545997,-0.10355721,-0.14101656
tremor_rest_left,0.94792706,-0.5597848,0.39171353,-0.29441786,1.058491,1.3086059,0.39042985,-0.31605253,0.72301775,0.8264982,-0.37067953,-0.75018775,-0.35174674,0.19237158,-1.7255096,1.0313276,-0.056527812,-0.2114279,-0.031585824,0.39240977,-1.2379721,0.6307339,-0.16412088,-0.34588036,0.5551958,1.1753479,0.6647121,-0.15131252,0.40030992,0.96214515,0.95059144,-0.28298092,0.26645008,-0.33714673,0.027441416,0.22233877,1.1533278,-1.04248,1.229739,0.8274077,1.24541,-0.45514193,-0.162928,-0.38218504,-0.88391924,1.0066891,0.77387923,-0.21585461,-0.15116304,-0.47166932
tremor_rest_right,-0.32070854,1.2971418,-0.19772272,1.2002958,-0.6024877,0.42824203,0.035798445,1.1660868,0.15136702,-0.12964317,0.4009777,0.25355956,0.47183082,0.44428438,-1.1308149,0.8062469,0.07507054,0.4055932,-0.32801148,-0.21142834,0.37111583,-1.0402012,0.89223975,0.31020278,1.2847383,1.0998352,0.26793846,-0.20347859,-0.08800276,-0.4204321,0.37635246,-0.3438662,0.14342874,0.23637532,0.21106803,-0.20897591,0.07210762,-0.9758638,1.1856214,0.1214848,0.4817448,0.04447567,-0.020710047,-0.54580957,-0.3136657,-0.6989005,-0.43659332,-0.273295,-0.30347604,-0.210937
tremor_postural_left,1.2312356,-0.06006336,-0.19825633,0.4154442,-0.10731395,1.2330761,0.21319307,0.5448873,-0.4356901,-0.2728803,0.09592756,-0.95823956,0.6549409,1.6267656,-1.0380884,0.31785706,-1.5125282,0.01201592,0.37256396,0.24902755,0.18274902,-0.8007978,-0.29048723,-0.69508505,0.37555557,0.41227043,-0.23011799,1.536913,-0.3023154,1.0018766,-0.6722015,-0.13310769,-1.2253711,0.119890645,-1.1737875,-0.12604189,-1.5405649,-0.32651997,-0.45782405,-0.67512006,0.80531526,0.66747767,-0.43054214,0.45227796,1.0243319,-0.3444878,0.20460238,0.41093767,0.39666015,1.2832474
tremor_postural_right,-0.19356066,-0.64164007,-0.32985792,0.82763946,-0.77632016,0.43635407,1.015452,-0.51174635,0.23720089,-0.04589975,-0.9011638,0.30718914,0.21575691,0.37567154,0.13807628,0.72088337,-1.7072728,-0.34959993,0.018604625,0.39222047,0.84034145,0.35881647,0.62300974,-0.88666993,0.80996823,-0.5361958,1.1262003,0.78738064,1.3034863,0.99145687,0.9757736,-0.2551556,-0.010604062,0.98462206,-0.5694887,0.00061456714,0.48855272,0.36001953,0.23524883,0.15122856,-0.64954156,0.7941333,-0.41700682,-0.7830927,0.28380916,-0.034517024,-0.91525847,0.70499957,-0.46221414,0.53578347
bradykinesia_speed_left,-0.53679913,0.88956445,0.1055982,-0.32045463,0.76427007,-0.39435083,1.0684121,0.52190167,0.5549304,0.3596877,1.4378338,0.77044123,0.07327541,-0.33639956,-0.07605669,-0.19534934,-0.62777066,-0.5467204,0.36513403,-0.3545,0.24074322,0.3932937,0.91005373,-0.5402041,-0.10556571,-0.4132028,-1.4653512,0.81401515,1.015214,-0.455063,0.24885188,-1.3537658,-0.49352953,0.48039484,0.23251918,0.4144276,0.6629512,-0.95711344,0.222604,0.11181434,-0.55188054,-0.6706595,0.65483737,0.1468697,0.16959877,0.3274988,0.16491117,-1.1592456,-0.027908863,0.00088782056
bradykinesia_speed_right,-0.003408821,0.05570461,0.26411572,0.5641029,-0.16668314,-0.104540326,1.5277996,0.4771001,0.17126405,-0.98016346,-0.8154305,-0.07204508,0.87378895,0.3085953,0.72286344,-0.5162526,0.09068671,0.20396195,1.0970525,0.41806558,-0.22875708,-0.70123786,-1.2567086,-0.24145265,0.0024266257,-0.02434057,-0.10961014,-0.23572776,0.41143262,-0.10653041,0.15059555,0.013250763,0.13446903,-0.09967264,0.28598896,0.3196181,-0.8029436,0.11942804,-0.8880157,-0.21785213,0.36993632,2.9550788,-0.4723746,-0.47631973,-0.5766695,0.08216242,0.9757993,0.5581244,0.14072278,-0.6009814
bradykinesia_amplitude_left,0.7323566,0.27942905,0.17466253,-0.8689106,-0.36653337,0.6387279,-0.1180147,-0.58519346,0.31121382,0.0006939745,-0.6228852,-0.37987646,0.07863861,0.7345281,-0.33448714,-0.040163666,-0.11041068,-0.120292574,0.70680124,-0.08063146,0.25201288,0.6049438,-0.75592446,-0.86636287,0.5192998,-0.950864,-0.5073605,-0.7436984,-0.63676155,0.29370093,-0.45697778,0.33721754,-0.047533095,0.22550285,0.078989,0.84249264,-0.65335375,-0.7153763,-1.0524315,-0.8916711,-0.5457224,0.024371466,0.5937275,-0.4245328,-0.16468395,-0.9852221,-0.25647596,1.2231888,0.36596626,0.28422517
bradykinesia_amplitude_right,-0.38050684,-0.56934416,-0.07800273,0.16204707,0.16492482,1.2892557,0.118525796,0.52854174,0.25817418,-0.78128165,0.4440643,-0.25092167,-0.258354,-0.17934158,0.5671393,0.31154191,-0.33114773,0.7683397,-0.8140031,0.31048116,-1.6538002,-0.5952062,-0.094464414,-0.14597264,0.6107033,1.07848,0.49504483,-0.36052737,0.63039565,-0.3667203,0.28584617,1.2085247,0.63348055,-0.15856838,0.70010895,-0.034225397,-1.6348339,0.62035704,1.4954063,0.26990741,0.29096615,-0.66169393,-0.39901155,0.64460474,-0.34419504,0.7406477,-0.42189804,0.05662638,-0.61377645,0.047072127
