factor_index,max_loading,mean_loading,median_loading,std_loading,nonzero_count,nonzero_pct,is_effective
0,2.5064,0.6781,0.5378,0.5182,851,0.985,True
1,2.7948,0.6458,0.5375,0.5121,856,0.9907,True
2,3.4499,0.6948,0.5907,0.5471,856,0.9907,True
3,3.0427,0.7097,0.5959,0.5493,860,0.9954,True
4,3.182,0.6836,0.5599,0.5575,852,0.9861,True
5,2.4962,0.6436,0.5395,0.4845,853,0.9873,True
6,2.7698,0.678,0.5458,0.5475,853,0.9873,True
7,2.9937,0.6677,0.534,0.5299,855,0.9896,True
8,4.6264,0.6865,0.554,0.5629,858,0.9931,True
9,2.7782,0.6365,0.5227,0.4912,855,0.9896,True
10,3.309,0.6916,0.5768,0.5354,855,0.9896,True
11,3.3939,0.6596,0.5427,0.5259,856,0.9907,True
12,3.2449,0.7148,0.5956,0.5513,858,0.9931,True
13,2.7039,0.6653,0.5813,0.5019,855,0.9896,True
14,3.4655,0.6518,0.5657,0.5218,854,0.9884,True
15,2.5506,0.6287,0.5394,0.4855,858,0.9931,True
16,2.8987,0.6178,0.5245,0.4738,859,0.9942,True
17,4.1052,0.6993,0.559,0.5563,855,0.9896,True
18,3.3965,0.7155,0.5802,0.5661,859,0.9942,True
19,4.129,0.6714,0.5758,0.5036,857,0.9919,True
20,2.5898,0.6745,0.5475,0.5071,854,0.9884,True
21,2.6403,0.7434,0.6566,0.5285,854,0.9884,True
22,2.5437,0.6377,0.5487,0.4796,852,0.9861,True
23,2.4741,0.6539,0.5679,0.4849,859,0.9942,True
24,2.5154,0.6328,0.5306,0.477,850,0.9838,True
25,3.8806,0.6924,0.5729,0.546,856,0.9907,True
26,3.1827,0.768,0.7,0.5598,858,0.9931,True
27,3.1196,0.6793,0.5491,0.5411,850,0.9838,True
28,3.0169,0.7307,0.6315,0.5534,850,0.9838,True
29,2.9713,0.7005,0.6261,0.5266,854,0.9884,True
30,3.3524,0.6715,0.5675,0.4987,860,0.9954,True
31,4.2361,0.6699,0.5557,0.5326,856,0.9907,True
32,3.7846,0.7135,0.5648,0.5837,859,0.9942,True
33,3.1359,0.6816,0.5119,0.5947,859,0.9942,True
34,3.1102,0.7192,0.6008,0.5566,852,0.9861,True
35,2.8459,0.7319,0.6221,0.5429,859,0.9942,True
36,2.6372,0.6392,0.545,0.4846,859,0.9942,True
37,3.0065,0.6871,0.5809,0.5515,853,0.9873,True
38,2.9073,0.762,0.6808,0.494,858,0.9931,True
39,3.4012,0.7138,0.5872,0.5358,859,0.9942,True
40,2.4909,0.6831,0.6326,0.4471,856,0.9907,True
41,3.1825,0.7589,0.6668,0.5537,855,0.9896,True
42,3.3971,0.6845,0.5886,0.5366,856,0.9907,True
43,3.0084,0.6845,0.5246,0.5712,853,0.9873,True
44,2.7113,0.6281,0.4997,0.4961,857,0.9919,True
45,3.1069,0.6585,0.5416,0.5169,856,0.9907,True
46,2.9953,0.7107,0.603,0.5439,858,0.9931,True
47,3.6937,0.7248,0.5903,0.5734,852,0.9861,True
48,2.7544,0.6327,0.5283,0.4941,852,0.9861,True
49,3.0924,0.7128,0.5902,0.5713,860,0.9954,True
