Factor_Index,Matches,Match_Rate_%,Status,Mean_Similarity
0,1,25.0,Unstable,0.4515567533671856
1,1,25.0,Unstable,0.30762835312634706
2,1,25.0,Unstable,0.41667645424604416
3,1,25.0,Unstable,0.41879404336214066
4,1,25.0,Unstable,0.37162502110004425
5,1,25.0,Unstable,0.2944711158052087
6,1,25.0,Unstable,0.4354039803147316
7,1,25.0,Unstable,0.37879708409309387
8,1,25.0,Unstable,0.3942854218184948
9,1,25.0,Unstable,0.3000079244375229
10,1,25.0,Unstable,0.3808855265378952
11,1,25.0,Unstable,0.32764434441924095
12,1,25.0,Unstable,0.38384365290403366
13,1,25.0,Unstable,0.3151939734816551
14,1,25.0,Unstable,0.36392031982541084
15,1,25.0,Unstable,0.2941318228840828
16,1,25.0,Unstable,0.3289173897355795
17,1,25.0,Unstable,0.4061221554875374
18,1,25.0,Unstable,0.39426475763320923
19,1,25.0,Unstable,0.31023458018898964
20,1,25.0,Unstable,0.613096609711647
21,1,25.0,Unstable,0.4192083440721035
22,1,25.0,Unstable,0.3004758274182677
23,1,25.0,Unstable,0.302880285307765
24,1,25.0,Unstable,0.2941929204389453
25,1,25.0,Unstable,0.39604843594133854
26,1,25.0,Unstable,0.44401339069008827
27,1,25.0,Unstable,0.3262023665010929
28,1,25.0,Unstable,0.42551537975668907
29,1,25.0,Unstable,0.5885983929038048
30,1,25.0,Unstable,0.3232872597873211
31,1,25.0,Unstable,0.3463634420186281
32,1,25.0,Unstable,0.4239758439362049
33,1,25.0,Unstable,0.49798545241355896
34,1,25.0,Unstable,0.4227125234901905
35,1,25.0,Unstable,0.4610665366053581
36,1,25.0,Unstable,0.3007693961262703
37,1,25.0,Unstable,0.444232277572155
38,1,25.0,Unstable,0.45338521152734756
39,1,25.0,Unstable,0.3341410867869854
40,1,25.0,Unstable,0.5501945838332176
41,1,25.0,Unstable,0.4182610884308815
42,1,25.0,Unstable,0.4046480841934681
43,1,25.0,Unstable,0.4542291648685932
44,1,25.0,Unstable,0.3019865099340677
45,1,25.0,Unstable,0.3082921737805009
46,1,25.0,Unstable,0.45991275832057
47,1,25.0,Unstable,0.4309343323111534
48,1,25.0,Unstable,0.3095000386238098
49,1,25.0,Unstable,0.40907900407910347
