Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4
Feature_0,-1.201098,-0.982371,0.121019885,1.9286699,0.7685869
Feature_1,-0.58734393,-0.8254692,-0.2949746,1.9625839,1.376873
Feature_2,-1.2033486,-0.8286451,0.19165938,2.32982,0.9308195
Feature_3,-0.35845137,-0.55721,-0.3590075,2.1351051,1.5793452
Feature_4,-0.5664231,-0.47910926,-0.12507221,2.4762156,1.3638953
Feature_5,-0.6941192,-0.6010408,0.037478868,2.3266137,1.1759609
Feature_6,-0.99431765,-0.7421851,0.13800645,2.699964,1.2927147
Feature_7,-0.032246873,-0.1660067,-0.30127278,1.5699198,1.7228378
Feature_8,0.037468046,-0.056624167,-0.22980456,1.5416106,1.4346588
Feature_9,-0.2237809,-0.113639355,-0.26723433,2.1628134,1.4106582
Feature_10,-0.32916537,-0.10099459,-0.09927613,1.9089041,1.2688267
Feature_11,-0.44054052,-0.40407753,-0.13889343,2.1820586,1.4539279
Feature_12,-0.66349894,-0.089505926,0.0899943,1.8123734,1.0724511
Feature_13,-0.889133,-0.45639408,0.2456991,2.4454072,1.1616455
Feature_14,-0.21890868,0.7448636,0.28875864,1.0622982,0.8948158
Feature_15,-0.101127245,0.36300153,0.24029057,1.3343384,1.133975
Feature_16,-0.08467251,-0.1756788,-0.24794264,1.9560355,1.6854806
Feature_17,-0.31269994,-0.17023571,-0.13596103,1.9387563,1.5747379
Feature_18,-0.36300325,-0.18263708,-0.07338484,2.3183687,1.610882
Feature_19,-0.9091324,-0.23998366,0.29893658,2.210239,1.0976105
Feature_20,-0.40295035,0.7507529,0.40710095,1.0876336,0.7465646
Feature_21,-0.23063882,0.82737476,0.29824603,1.5022426,1.1704816
Feature_22,-0.14923964,0.5123376,0.13691397,1.7965811,1.4143456
Feature_23,0.0016831781,0.21475756,-0.123453535,2.1825366,1.8197976
Feature_24,-0.2391361,0.220381,-0.07718718,2.203014,1.7804519
Feature_25,-0.3878887,0.7316079,0.3866435,1.2376051,0.8341694
Feature_26,-0.3206925,0.70190465,0.14228255,1.6353855,1.4730898
Feature_27,-0.21718474,0.18455754,0.14176817,2.0055244,1.6288273
Feature_28,-0.29949296,0.2392932,-0.005358096,2.2075593,1.7552145
Feature_29,-0.6918852,0.80248874,0.31363988,1.196868,0.85270107
Feature_30,-0.6990479,0.62454265,0.35339808,1.3127034,1.1317723
Feature_31,-0.49722,0.57263595,0.21376264,2.053923,1.6454226
Feature_32,-0.3997339,0.3131687,0.10365164,1.9804801,1.5887494
Feature_33,-0.4085379,0.22664687,0.07628499,2.1165245,1.5634031
Feature_34,-0.46514475,0.115728416,0.081506036,2.1280446,1.520409
Feature_35,-0.91535807,0.68097305,0.37509418,1.1065501,0.6071011
Feature_36,-0.7694633,0.592825,0.4437705,1.3619711,0.7631928
Feature_37,-0.69970304,0.3921536,0.2913974,1.7551326,1.3921574
Feature_38,-0.60999805,0.09474762,0.22248632,1.9983159,1.5374422
Feature_39,-0.4801876,0.134735,0.16194512,2.071183,1.5456388
Feature_40,-0.8364959,0.41719043,0.3361552,1.0911171,0.70278203
Feature_41,-0.8818708,0.22437067,0.439187,1.8355609,1.0744002
Feature_42,-0.53788936,0.07595279,0.3173074,2.0883918,1.2668351
Feature_43,-1.3705587,-1.128561,0.2409146,2.3350356,0.35041118
Feature_44,-1.0081698,-0.97463095,0.079027876,2.343305,0.7679039
Feature_45,-0.5716577,-0.45621502,-0.19680698,2.3440163,1.4483765
Feature_46,-0.7802773,-0.73102343,0.07882195,2.668381,1.1109878
Feature_47,-1.0488012,-0.72760147,0.3251057,2.3862157,0.73171854
Feature_48,-1.2821424,-0.777155,0.49514192,1.8741019,0.40443224
Feature_49,-0.255541,-0.2682941,-0.13212074,1.8067358,1.3344209
Feature_50,-0.464418,-0.30550814,-0.1519823,2.11028,1.4688189
Feature_51,-0.70798707,-0.42422783,0.079427294,2.149201,1.2024586
Feature_52,-0.8904992,-0.5921916,0.3900426,2.57862,0.9261581
Feature_53,-1.113025,-0.59225756,0.568454,2.1124265,0.63593876
Feature_54,0.14076675,-0.008985276,0.021903634,1.6013373,1.4442953
Feature_55,-0.18262736,-0.15395679,-0.13482498,1.8651185,1.7269049
Feature_56,-0.20999429,-0.001361002,0.02030476,1.955642,1.384617
