Subject,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4
Subject_0,0.8134152,-0.53451765,-1.5850244,-0.007549729,1.4097466
Subject_1,-0.32961684,-0.00013217806,-3.5763195,0.4229296,-0.689093
Subject_2,-0.40649965,-0.06849108,0.91144985,-1.3145741,-0.8462012
Subject_3,0.27861083,-0.9927821,2.5485823,-2.4342911,-1.332338
Subject_4,1.1894672,1.5959707,-0.008959074,2.1684813,1.4745965
Subject_5,0.629618,0.15770586,-1.538987,-0.52425766,-1.1249789
Subject_6,-0.11755758,1.2624347,-0.563127,0.828572,1.5153192
Subject_7,-0.43514496,1.5185089,0.8280518,-0.55575407,-0.637091
Subject_8,0.5694757,1.446948,-0.6275779,1.6741922,0.5700117
Subject_9,-1.2473394,0.019797487,1.0072601,1.2370055,2.001493
Subject_10,-0.3910993,0.24759181,-2.8729286,0.52582467,-0.7752255
Subject_11,-0.31340143,-0.27295893,2.5322533,0.24072708,1.7875439
Subject_12,1.707838,0.37485594,-0.9517671,1.5164703,0.6897134
Subject_13,0.6804605,-2.1569948,2.5288403,-2.6011493,-1.6064793
Subject_14,1.4677124,-0.36164963,0.83515424,-0.046968117,0.7440886
Subject_15,-0.01617564,0.6974678,-2.9913433,2.4894474,1.5984101
Subject_16,0.19852048,-1.4420528,-0.8955755,1.0066508,0.9340014
Subject_17,-1.2653865,0.66927886,0.6808374,-2.1515288,-0.5842966
Subject_18,0.21438518,-0.61864865,0.3450786,-0.5262805,-0.5543038
Subject_19,-0.4869079,-0.8951523,-0.6541072,3.4550366,0.84149444
Subject_20,1.8308481,1.017865,0.45581913,-1.0627315,-0.5691749
Subject_21,0.045215957,-0.95316494,1.3353595,-0.7227068,-0.33135712
Subject_22,-2.1939268,1.1989285,1.2839767,-1.485883,-1.2949841
Subject_23,-0.55661637,0.1288009,-0.75788724,0.599255,0.1954159
Subject_24,-1.1804917,0.14637426,-0.86145324,1.1169076,-0.15923788
Subject_25,-0.8424849,-0.117084436,1.7318404,-2.1220803,-2.3416927
