Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4
Feature_0,1.8097124,0.59664536,0.23431249,0.98636854,-0.36110908
Feature_1,2.145246,0.77696013,0.29414588,0.8890017,-1.0813531
Feature_2,1.7850568,0.49271053,-0.019551052,1.1659006,-0.082323335
Feature_3,2.1088827,0.65401983,0.12925173,1.064358,-0.30343723
Feature_4,2.268955,0.78448737,0.13515666,0.9200291,-0.52378726
Feature_5,1.8148674,0.45899925,-0.10204149,1.1870345,0.1502378
Feature_6,1.8359445,0.5852217,0.010372275,1.1322442,0.049427778
Feature_7,2.0532305,0.77417916,0.08742734,1.0733832,0.04674282
Feature_8,2.2741961,0.9423437,0.14625,0.97319317,-0.20848009
Feature_9,1.6648107,0.4444611,-0.35862598,1.080858,0.64671916
Feature_10,1.8537394,0.48918784,-0.24638222,1.204875,0.5282392
Feature_11,1.7452793,0.44174302,-0.22654258,1.2018019,0.5437292
Feature_12,1.8868387,0.61103696,-0.11352125,1.152049,0.57984346
Feature_13,1.8497396,0.6591057,-0.017137056,1.0790242,0.41793764
Feature_14,1.7221415,0.74998075,0.059501775,0.885093,0.26771942
Feature_15,2.0285313,0.9348154,0.044728972,0.8583154,0.048067242
Feature_16,1.4961097,0.62715274,-0.46827635,0.22320354,0.78488106
Feature_17,1.6454916,0.48927245,-0.38851255,0.7346758,0.82366407
Feature_18,1.8996617,0.46832317,-0.3779009,1.1165146,0.8463767
Feature_19,1.9403199,0.4984603,-0.32429722,1.0223762,0.9461291
Feature_20,1.8078703,0.7159921,-0.24179792,1.0834951,0.716639
Feature_21,1.4841846,0.73106366,-0.18493263,0.07975513,0.91861784
Feature_22,1.7425902,0.7383243,-0.26839888,0.373309,1.0827051
Feature_23,1.8287363,0.64309657,-0.4152427,0.8365392,1.2060975
Feature_24,1.7582468,0.5725179,-0.2962345,0.87760544,0.9365634
Feature_25,1.6989113,0.6208239,-0.23939346,0.965457,0.9356187
Feature_26,1.6663867,0.82681423,-0.26880765,0.07366117,1.2333683
Feature_27,1.7194558,0.7331294,-0.3063256,0.46500468,1.2091557
Feature_28,1.7600472,0.70155585,-0.26567763,0.7040214,1.1270037
Feature_29,1.7378101,0.968488,0.034054253,-0.16100387,1.095957
Feature_30,1.8995739,1.029486,-0.028405456,0.24497482,1.2331201
Feature_31,1.8933308,0.9493912,-0.07588389,0.5032236,1.4301679
Feature_32,1.6440703,1.0171335,0.3042128,-1.5159974,1.0555848
Feature_33,1.8111609,1.0065316,0.13234593,-0.077056184,1.1065121
Feature_34,2.0444138,1.0780332,0.024170095,0.2666444,1.1607162
Feature_35,2.1306448,1.0106128,-0.08478711,0.6907338,1.0834528
Feature_36,2.3538983,0.8232335,-0.27768144,0.6848746,0.9918313
Feature_37,1.7474197,1.0008591,0.31730822,-0.25657868,0.70486975
Feature_38,1.9315062,1.0114543,0.12706393,0.0649511,0.77474076
Feature_39,2.121822,0.99248904,-0.7754428,0.44636253,0.76730806
Feature_40,2.3950975,0.8603383,-0.13366543,0.48549375,0.6411128
