Feature,Factor_0,Factor_4
Feature_0,-1.8806966543197632,0.48538389801979065
Feature_1,-2.223886251449585,0.8555418848991394
Feature_2,-1.9481321573257446,0.11155969649553299
Feature_3,-2.0411770343780518,0.37059202790260315
Feature_4,-2.2550323009490967,0.6592487692832947
Feature_5,-1.9383678436279297,-0.05288394168019295
Feature_6,-1.9439617395401,-0.08046021312475204
Feature_7,-2.213956117630005,0.09922375530004501
Feature_8,-2.319525718688965,0.30340704321861267
Feature_9,-1.8178433179855347,-0.46978750824928284
Feature_10,-1.897474765777588,-0.5040668845176697
Feature_11,-1.9076792001724243,-0.4573078155517578
Feature_12,-2.0056684017181396,-0.44332411885261536
Feature_13,-1.8933696746826172,-0.4075411260128021
Feature_14,-1.9123843908309937,-0.20781783759593964
Feature_15,-2.132395029067993,0.07139009982347488
Feature_16,-1.4744538068771362,-0.7230654358863831
Feature_17,-1.5915800333023071,-0.6875149607658386
Feature_18,-1.9561892747879028,-0.7966371178627014
Feature_19,-2.054408550262451,-0.7015974521636963
Feature_20,-1.9872850179672241,-0.7375269532203674
Feature_21,-1.4698281288146973,-0.8890417218208313
Feature_22,-1.6619850397109985,-0.9430486559867859
Feature_23,-1.9007431268692017,-1.0685224533081055
Feature_24,-1.8555363416671753,-0.8887724280357361
Feature_25,-1.8678832054138184,-0.8640860915184021
Feature_26,-1.6723941564559937,-1.1110303401947021
Feature_27,-1.799930214881897,-1.0719571113586426
Feature_28,-1.8534183502197266,-1.0250283479690552
Feature_29,-1.6787114143371582,-1.0628982782363892
Feature_30,-1.8289899826049805,-1.167144775390625
Feature_31,-1.9727874994277954,-1.0930839776992798
Feature_32,-1.6462637186050415,-0.8681614398956299
Feature_33,-1.7480827569961548,-0.909726083278656
Feature_34,-2.000673294067383,-0.9775517582893372
Feature_35,-2.1282660961151123,-0.9179508090019226
Feature_36,-2.208904981613159,-0.8854374885559082
Feature_37,-1.6826642751693726,-0.6446383595466614
Feature_38,-1.874463677406311,-0.6401016116142273
Feature_39,-2.1955342292785645,-0.6732614040374756
Feature_40,-2.1878907680511475,-0.5684227347373962
Feature_41,-2.0791311264038086,0.9611889719963074
Feature_42,-2.0461156368255615,0.41771626472473145
Feature_43,-2.2670719623565674,0.8868746757507324
Feature_44,-1.866868019104004,0.06321603804826736
Feature_45,-2.318817138671875,0.25818759202957153
Feature_46,-2.569669485092163,0.6549574732780457
Feature_47,-1.7833614349365234,-0.26738670468330383
Feature_48,-1.791494369506836,-0.24324440956115723
Feature_49,-2.078646659851074,-0.08893457800149918
Feature_50,-2.363490343093872,0.30751800537109375
Feature_51,-1.6525217294692993,-0.4923070967197418
Feature_52,-1.7972345352172852,-0.5988041758537292
Feature_53,-1.6820669174194336,-0.559959352016449
